"","Count","Kingdom","Phylum","Class","Order","Family","Genus","Species","name","module","connectivity","participation","role","Compartment","Rootstock"
"Otu00158","1673","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Trichosporonaceae","g__Trichosporon","s__Trichosporon_gamsii","Otu00158",0,-0.868947756086701,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00255","808","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Stagonospora",NA,"Otu00255",0,-0.868947756086701,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00355","422","k__Fungi","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified",NA,"Otu00355",0,-0.868947756086701,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00357","421","k__Protista","p__Cercozoa","c__unclassified_Cercozoa","o__unclassified_Cercozoa","f__unclassified_Cercozoa","g__unclassified_Cercozoa","s__Cercozoa_sp","Otu00357",0,-0.868947756086701,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00387","365","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Agaricostilbaceae","g__Sterigmatomyces","s__Sterigmatomyces_halophilus","Otu00387",0,-0.868947756086701,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00666","135","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_family_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_sp","Otu00666",0,-0.868947756086701,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00726","112","k__Fungi","p__Chytridiomycota","c__Chytridiomycetes","o__Spizellomycetales","f__Spizellomycetaceae","g__Spizellomyces","s__Spizellomyces_dolichospermus","Otu00726",0,-0.868947756086701,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00764","103","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meruliaceae","g__Hyphoderma","s__Hyphoderma_setigerum","Otu00764",0,-0.513469128596687,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00778","99","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Hypocrea",NA,"Otu00778",0,-0.513469128596687,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00264","772","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__unclassified_Nectriaceae","s__Nectriaceae_sp","Otu00264",0,-0.513469128596687,0.5,"Peripheral","Rhizosphere","Nongraft"
"Otu00161","1635","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideomycetes_order_Incertae_sedis","f__Pseudeurotiaceae","g__Pseudogymnoascus","s__Pseudogymnoascus_roseus","Otu00161",0,-0.157990501106673,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00258","797","k__Fungi","p__Zygomycota","c__Zygomycota_class_Incertae_sedis","o__Mortierellales","f__Mortierellaceae","g__Mortierella",NA,"Otu00258",0,0.19748812638334,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00046","6692","k__Fungi","p__Basidiomycota","c__Agaricomycetes","c__Agaricomycetes_unclassified","c__Agaricomycetes_unclassified","c__Agaricomycetes_unclassified",NA,"Otu00046",0,0.19748812638334,0.32,"Peripheral","Rhizosphere","Nongraft"
"Otu00271","717","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolales_family_Incertae_sedis","g__unclassified_Sporidiobolales","s__Sporidiobolales_sp","Otu00271",0,0.908445381363368,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00167","1569","k__Fungi","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified",NA,"Otu00167",0,1.26392400885338,0.21875,"Peripheral","Rhizosphere","Nongraft"
"Otu00157","1681","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__unclassified_Bionectriaceae","s__Bionectriaceae_sp","Otu00157",0,1.26392400885338,0.46,"Peripheral","Rhizosphere","Nongraft"
"Otu00108","2488","k__Fungi","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified",NA,"Otu00108",0,1.97488126383341,0.18,"Peripheral","Rhizosphere","Nongraft"
"Otu00109","2476","k__Fungi","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified",NA,"Otu00109",0,1.97488126383341,0.31404958677686,"Peripheral","Rhizosphere","Nongraft"
"Otu00083","3709","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolales_family_Incertae_sedis","g__Rhodotorula","s__Rhodotorula_taiwanensis","Otu00083",1,-0.929117682808958,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00102","2710","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Cryptococcus","s__Cryptococcus_albidus","Otu00102",1,-0.929117682808958,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00112","2370","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Trichomonascaceae","g__Blastobotrys","s__Blastobotrys_mokoenaii","Otu00112",1,-0.929117682808958,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00221","1026","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","f__Nectriaceae_unclassified",NA,"Otu00221",1,-0.929117682808958,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00340","450","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Leucocoprinus","s__Leucocoprinus_cretaceus","Otu00340",1,-0.929117682808958,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00398","352","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","o__Hypocreales_unclassified","o__Hypocreales_unclassified",NA,"Otu00398",1,-0.929117682808958,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00429","302","k__Fungi","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified",NA,"Otu00429",1,-0.929117682808958,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00324","497","k__Fungi","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified",NA,"Otu00324",1,-0.22298824387415,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00346","445","k__Fungi","p__Rozellomycota","c__unclassified_Rozellomycota","o__unclassified_Rozellomycota","f__unclassified_Rozellomycota","g__unclassified_Rozellomycota","s__Rozellomycota_sp","Otu00346",1,-0.22298824387415,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00101","2728","k__Fungi","p__Basidiomycota","c__Pucciniomycetes","o__Pucciniales","f__Melampsoraceae","g__Melampsora","s__Melampsora_sp_hyb8_3_1","Otu00101",1,-0.22298824387415,0.444444444444444,"Peripheral","Rhizosphere","Nongraft"
"Otu00174","1363","k__Fungi","p__Basidiomycota","p__Basidiomycota_unclassified","p__Basidiomycota_unclassified","p__Basidiomycota_unclassified","p__Basidiomycota_unclassified",NA,"Otu00174",1,-0.22298824387415,0.444444444444444,"Peripheral","Rhizosphere","Nongraft"
"Otu00002","176227","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","o__Pezizales_unclassified","o__Pezizales_unclassified",NA,"Otu00002",1,-0.22298824387415,0.64,"Connector","Rhizosphere","Nongraft"
"Otu00070","4430","k__Fungi","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified",NA,"Otu00070",1,0.483141195060658,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00190","1240","k__Fungi","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified",NA,"Otu00190",1,0.483141195060658,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00218","1043","k__Fungi","p__Zygomycota","c__Zygomycota_class_Incertae_sedis","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__Mortierella_sp","Otu00218",1,0.483141195060658,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00298","596","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Cystofilobasidium",NA,"Otu00298",1,0.483141195060658,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00017","25701","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariales_family_Incertae_sedis","g__Monographella","s__Monographella_cucumerina","Otu00017",1,1.18927063399547,0.489795918367347,"Peripheral","Rhizosphere","Nongraft"
"Otu00094","3183","k__Fungi","p__Basidiomycota","c__Ustilaginomycetes","o__Ustilaginales","f__Ustilaginaceae","g__Ustilago","s__Ustilago_sp","Otu00094",1,1.89540007293027,0.277777777777778,"Peripheral","Rhizosphere","Nongraft"
"Otu00184","1282","k__Fungi","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified",NA,"Otu00184",1,2.60152951186508,0.244897959183674,"Connector Hub","Rhizosphere","Nongraft"
"Otu00300","594","k__Fungi","p__Zygomycota","c__Zygomycota_class_Incertae_sedis","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__Mortierella_reticulata","Otu00300",2,0,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00401","348","k__Fungi","p__Zygomycota","c__unclassified_Zygomycota","o__unclassified_Zygomycota","f__unclassified_Zygomycota","g__unclassified_Zygomycota","s__Zygomycota_sp","Otu00401",2,0,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00192","1229","k__Fungi","p__Zygomycota","c__Zygomycota_class_Incertae_sedis","o__Kickxellales","f__Kickxellaceae","g__Ramicandelaber","s__Ramicandelaber_sp","Otu00192",3,-0.707106781186548,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00213","1092","k__Fungi","p__Zygomycota","c__Zygomycota_class_Incertae_sedis","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__Mortierella_sp","Otu00213",3,-0.707106781186548,0.5,"Peripheral","Rhizosphere","Nongraft"
"Otu00064","4808","k__Fungi","p__Zygomycota","c__Zygomycota_class_Incertae_sedis","o__Kickxellales","f__Kickxellaceae","g__Ramicandelaber","s__Ramicandelaber_sp","Otu00064",3,1.41421356237309,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00415","319","k__Fungi","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified",NA,"Otu00415",4,-1.58113883008419,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00312","535","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Parasola",NA,"Otu00312",4,0,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00524","216","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_family_Incertae_sedis","g__Acremonium","s__Acremonium_sp_AR2_30","Otu00524",4,0,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00635","148","k__Fungi","p__Ascomycota","p__Ascomycota_unclassified","p__Ascomycota_unclassified","p__Ascomycota_unclassified","p__Ascomycota_unclassified",NA,"Otu00635",4,0,0,"Peripheral","Rhizosphere","Nongraft"
"Otu00040","7556","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae","g__unclassified_Ceratobasidiaceae","s__Ceratobasidiaceae_sp","Otu00040",4,1.58113883008419,0.375,"Peripheral","Rhizosphere","Nongraft"
"Otu00028","11962","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Cryptococcus","s__Cryptococcus_terreus","Otu00028",5,-1.18956632017108,0,"Peripheral","Rhizosphere","Nongraft"
