,Tunnel Number,Rootstock,Compartment,Community,Study_site,Phenology,Year,Number,Sample_name
14RhizoFungi.2p.A1,Tunnel - 3,Selfgraft,Rhizosphere,Fungi,OHREC,Peak_Harvest,2014,1,14RhizoFungi.2p.A1
14RhizoFungi.2p.C2,Tunnel - 4,Selfgraft,Rhizosphere,Fungi,OHREC,Peak_Harvest,2014,2,14RhizoFungi.2p.C2
14RhizoFungi.2p.C4,Tunnel - 5,Selfgraft,Rhizosphere,Fungi,OHREC,Peak_Harvest,2014,3,14RhizoFungi.2p.C4
14RhizoFungi.2p.D3,Tunnel - 6,Selfgraft,Rhizosphere,Fungi,OHREC,Peak_Harvest,2014,4,14RhizoFungi.2p.D3
14RhizoFungi.H8,Tunnel - 1,Selfgraft,Rhizosphere,Fungi,OHREC,Peak_Harvest,2014,5,14RhizoFungi.H8
14RhizoFungi.H9,Tunnel - 2,Selfgraft,Rhizosphere,Fungi,OHREC,Peak_Harvest,2014,6,14RhizoFungi.H9
14RhizoFungi.2p.A4,Tunnel - 2,RST-04-106,Rhizosphere,Fungi,OHREC,Peak_Harvest,2014,7,14RhizoFungi.2p.A4
14RhizoFungi.2p.A6,Tunnel - 3,RST-04-106,Rhizosphere,Fungi,OHREC,Peak_Harvest,2014,8,14RhizoFungi.2p.A6
14RhizoFungi.2p.B3,Tunnel - 4,RST-04-106,Rhizosphere,Fungi,OHREC,Peak_Harvest,2014,9,14RhizoFungi.2p.B3
14RhizoFungi.2p.D1,Tunnel - 5,RST-04-106,Rhizosphere,Fungi,OHREC,Peak_Harvest,2014,10,14RhizoFungi.2p.D1
14RhizoFungi.2p.D6,Tunnel - 6,RST-04-106,Rhizosphere,Fungi,OHREC,Peak_Harvest,2014,11,14RhizoFungi.2p.D6
14RhizoFungi.H11,Tunnel - 1,RST-04-106,Rhizosphere,Fungi,OHREC,Peak_Harvest,2014,12,14RhizoFungi.H11
14RhizoFungi.2p.A5,Tunnel - 2,Nongraft,Rhizosphere,Fungi,OHREC,Peak_Harvest,2014,13,14RhizoFungi.2p.A5
14RhizoFungi.2p.B4,Tunnel - 3,Nongraft,Rhizosphere,Fungi,OHREC,Peak_Harvest,2014,14,14RhizoFungi.2p.B4
14RhizoFungi.2p.C3,Tunnel - 4,Nongraft,Rhizosphere,Fungi,OHREC,Peak_Harvest,2014,15,14RhizoFungi.2p.C3
14RhizoFungi.2p.C5,Tunnel - 5,Nongraft,Rhizosphere,Fungi,OHREC,Peak_Harvest,2014,16,14RhizoFungi.2p.C5
14RhizoFungi.2p.D2,Tunnel - 6,Nongraft,Rhizosphere,Fungi,OHREC,Peak_Harvest,2014,17,14RhizoFungi.2p.D2
14RhizoFungi.H7,Tunnel - 1,Nongraft,Rhizosphere,Fungi,OHREC,Peak_Harvest,2014,18,14RhizoFungi.H7
14RhizoFungi.2p.A2,Tunnel - 2,Maxifort,Rhizosphere,Fungi,OHREC,Peak_Harvest,2014,19,14RhizoFungi.2p.A2
14RhizoFungi.2p.B1,Tunnel - 3,Maxifort,Rhizosphere,Fungi,OHREC,Peak_Harvest,2014,20,14RhizoFungi.2p.B1
14RhizoFungi.2p.B5,Tunnel - 4,Maxifort,Rhizosphere,Fungi,OHREC,Peak_Harvest,2014,21,14RhizoFungi.2p.B5
14RhizoFungi.2p.B6,Tunnel - 5,Maxifort,Rhizosphere,Fungi,OHREC,Peak_Harvest,2014,22,14RhizoFungi.2p.B6
14RhizoFungi.2p.D4,Tunnel - 6,Maxifort,Rhizosphere,Fungi,OHREC,Peak_Harvest,2014,23,14RhizoFungi.2p.D4
14RhizoFungi.H12,Tunnel - 1,Maxifort,Rhizosphere,Fungi,OHREC,Peak_Harvest,2014,24,14RhizoFungi.H12
14Group.Rhizo108,Tunnel - 2,Selfgraft,Rhizosphere,Fungi,Common Harvest,Peak Harvest,2014,25,14Group.Rhizo108
14Group.Rhizo99,Tunnel - 1,Selfgraft,Rhizosphere,Fungi,Common Harvest,Peak Harvest,2014,26,14Group.Rhizo99
14RhizoFungi.G10,Tunnel - 3,Selfgraft,Rhizosphere,Fungi,Common Harvest,Peak_Harvest,2014,27,14RhizoFungi.G10
14RhizoFungi.H3,Tunnel - 4,Selfgraft,Rhizosphere,Fungi,Common Harvest,Peak_Harvest,2014,28,14RhizoFungi.H3
14Group.Rhizo111,Tunnel - 1,RST-04-106,Rhizosphere,Fungi,Common Harvest,Peak Harvest,2014,29,14Group.Rhizo111
14RhizoFungi.G12,Tunnel - 3,RST-04-106,Rhizosphere,Fungi,Common Harvest,Peak_Harvest,2014,30,14RhizoFungi.G12
14RhizoFungi.G7,Tunnel - 2,RST-04-106,Rhizosphere,Fungi,Common Harvest,Peak_Harvest,2014,31,14RhizoFungi.G7
14RhizoFungi.H5,Tunnel - 4,RST-04-106,Rhizosphere,Fungi,Common Harvest,Peak_Harvest,2014,32,14RhizoFungi.H5
14RhizoFungi.G3,Tunnel - 2,Nongraft,Rhizosphere,Fungi,Common Harvest,Peak_Harvest,2014,33,14RhizoFungi.G3
14RhizoFungi.F11,Tunnel - 1,Nongraft,Rhizosphere,Fungi,Common Harvest,Peak_Harvest,2014,34,14RhizoFungi.F11
14RhizoFungi.G9,Tunnel - 3,Nongraft,Rhizosphere,Fungi,Common Harvest,Peak_Harvest,2014,35,14RhizoFungi.G9
14RhizoFungi.H2,Tunnel - 4,Nongraft,Rhizosphere,Fungi,Common Harvest,Peak_Harvest,2014,36,14RhizoFungi.H2
14RhizoFungi.G8,Tunnel - 4,Maxifort,Rhizosphere,Fungi,Common Harvest,Peak_Harvest,2014,37,14RhizoFungi.G8
14RhizoFungi.G4,Tunnel - 2,Maxifort,Rhizosphere,Fungi,Common Harvest,Peak_Harvest,2014,38,14RhizoFungi.G4
14RhizoFungi.G2,Tunnel - 1,Maxifort,Rhizosphere,Fungi,Common Harvest,Peak_Harvest,2014,39,14RhizoFungi.G2
14RhizoFungi.G5,Tunnel - 3,Maxifort,Rhizosphere,Fungi,Common Harvest,Peak_Harvest,2014,40,14RhizoFungi.G5
14RootFungi.2p.A1,Tunnel - 3,Selfgraft,Endosphere,Fungi,OHREC,Peak_Harvest,2014,1,14RootFungi.2p.A1
14RootFungi.2p.C2,Tunnel - 4,Selfgraft,Endosphere,Fungi,OHREC,Peak_Harvest,2014,2,14RootFungi.2p.C2
14RootFungi.2p.C4,Tunnel - 5,Selfgraft,Endosphere,Fungi,OHREC,Peak_Harvest,2014,3,14RootFungi.2p.C4
14RootFungi.2p.D3,Tunnel - 6,Selfgraft,Endosphere,Fungi,OHREC,Peak_Harvest,2014,4,14RootFungi.2p.D3
14RootFungi.H8,Tunnel - 1,Selfgraft,Endosphere,Fungi,OHREC,Peak_Harvest,2014,5,14RootFungi.H8
14RootFungi.H9,Tunnel - 2,Selfgraft,Endosphere,Fungi,OHREC,Peak_Harvest,2014,6,14RootFungi.H9
14RootFungi.2p.A4,Tunnel - 2,RST-04-106,Endosphere,Fungi,OHREC,Peak_Harvest,2014,7,14RootFungi.2p.A4
14RootFungi.2p.A6,Tunnel - 3,RST-04-106,Endosphere,Fungi,OHREC,Peak_Harvest,2014,8,14RootFungi.2p.A6
14RootFungi.2p.B3,Tunnel - 4,RST-04-106,Endosphere,Fungi,OHREC,Peak_Harvest,2014,9,14RootFungi.2p.B3
14RootFungi.2p.D1,Tunnel - 5,RST-04-106,Endosphere,Fungi,OHREC,Peak_Harvest,2014,10,14RootFungi.2p.D1
14RootFungi.2p.D6,Tunnel - 6,RST-04-106,Endosphere,Fungi,OHREC,Peak_Harvest,2014,11,14RootFungi.2p.D6
14RootFungi.H11,Tunnel - 1,RST-04-106,Endosphere,Fungi,OHREC,Peak_Harvest,2014,12,14RootFungi.H11
14RootFungi.2p.A5,Tunnel - 2,Nongraft,Endosphere,Fungi,OHREC,Peak_Harvest,2014,13,14RootFungi.2p.A5
14RootFungi.2p.B4,Tunnel - 3,Nongraft,Endosphere,Fungi,OHREC,Peak_Harvest,2014,14,14RootFungi.2p.B4
14RootFungi.2p.C3,Tunnel - 4,Nongraft,Endosphere,Fungi,OHREC,Peak_Harvest,2014,15,14RootFungi.2p.C3
14RootFungi.2p.C5,Tunnel - 5,Nongraft,Endosphere,Fungi,OHREC,Peak_Harvest,2014,16,14RootFungi.2p.C5
14RootFungi.2p.D2,Tunnel - 6,Nongraft,Endosphere,Fungi,OHREC,Peak_Harvest,2014,17,14RootFungi.2p.D2
14RootFungi.H7,Tunnel - 1,Nongraft,Endosphere,Fungi,OHREC,Peak_Harvest,2014,18,14RootFungi.H7
14RootFungi.2p.A2,Tunnel - 2,Maxifort,Endosphere,Fungi,OHREC,Peak_Harvest,2014,19,14RootFungi.2p.A2
14RootFungi.2p.B1,Tunnel - 3,Maxifort,Endosphere,Fungi,OHREC,Peak_Harvest,2014,20,14RootFungi.2p.B1
14RootFungi.2p.B5,Tunnel - 4,Maxifort,Endosphere,Fungi,OHREC,Peak_Harvest,2014,21,14RootFungi.2p.B5
14RootFungi.2p.B6,Tunnel - 5,Maxifort,Endosphere,Fungi,OHREC,Peak_Harvest,2014,22,14RootFungi.2p.B6
14RootFungi.2p.D4,Tunnel - 6,Maxifort,Endosphere,Fungi,OHREC,Peak_Harvest,2014,23,14RootFungi.2p.D4
14RootFungi.H12,Tunnel - 1,Maxifort,Endosphere,Fungi,OHREC,Peak_Harvest,2014,24,14RootFungi.H12
14Group.Root108,Tunnel - 2,Selfgraft,Endosphere,Fungi,Common Harvest,Peak Harvest,2014,25,14Group.Root108
14Group.Root99,Tunnel - 1,Selfgraft,Endosphere,Fungi,Common Harvest,Peak Harvest,2014,26,14Group.Root99
14RootFungi.G10,Tunnel - 3,Selfgraft,Endosphere,Fungi,Common Harvest,Peak_Harvest,2014,27,14RootFungi.G10
14RootFungi.H3,Tunnel - 4,Selfgraft,Endosphere,Fungi,Common Harvest,Peak_Harvest,2014,28,14RootFungi.H3
14Group.Root111,Tunnel - 1,RST-04-106,Endosphere,Fungi,Common Harvest,Peak Harvest,2014,29,14Group.Root111
14RootFungi.G12,Tunnel - 3,RST-04-106,Endosphere,Fungi,Common Harvest,Peak_Harvest,2014,30,14RootFungi.G12
14RootFungi.G7,Tunnel - 2,RST-04-106,Endosphere,Fungi,Common Harvest,Peak_Harvest,2014,31,14RootFungi.G7
14RootFungi.H5,Tunnel - 4,RST-04-106,Endosphere,Fungi,Common Harvest,Peak_Harvest,2014,32,14RootFungi.H5
14RootFungi.G3,Tunnel - 2,Nongraft,Endosphere,Fungi,Common Harvest,Peak_Harvest,2014,33,14RootFungi.G3
14Group.Root123,Tunnel - 1,Nongraft,Endosphere,Fungi,Common Harvest,Peak Harvest,2014,34,14Group.Root123
14RootFungi.G9,Tunnel - 3,Nongraft,Endosphere,Fungi,Common Harvest,Peak_Harvest,2014,35,14RootFungi.G9
14RootFungi.H2,Tunnel - 4,Nongraft,Endosphere,Fungi,Common Harvest,Peak_Harvest,2014,36,14RootFungi.H2
14RootFungi.G8,Tunnel - 4,Maxifort,Endosphere,Fungi,Common Harvest,Peak_Harvest,2014,37,14RootFungi.G8
14RootFungi.G4,Tunnel - 2,Maxifort,Endosphere,Fungi,Common Harvest,Peak_Harvest,2014,38,14RootFungi.G4
14RootFungi.G2,Tunnel - 1,Maxifort,Endosphere,Fungi,Common Harvest,Peak_Harvest,2014,39,14RootFungi.G2
14RootFungi.G5,Tunnel - 3,Maxifort,Endosphere,Fungi,Common Harvest,Peak_Harvest,2014,40,14RootFungi.G5
15RhizoFungi.2p.B1,Tunnel - 3,Selfgraft,Rhizosphere,Fungi,OHREC,Peak_Harvest,2015,1,15RhizoFungi.2p.B1
15RhizoFungi.2p.C2,Tunnel - 4,Selfgraft,Rhizosphere,Fungi,OHREC,Peak_Harvest,2015,2,15RhizoFungi.2p.C2
15RhizoFungi.2p.A1,Tunnel - 2,Selfgraft,Rhizosphere,Fungi,OHREC,Peak_Harvest,2015,3,15RhizoFungi.2p.A1
15RhizoFungi.2p.B5,Tunnel - 5,Selfgraft,Rhizosphere,Fungi,OHREC,Peak_Harvest,2015,4,15RhizoFungi.2p.B5
15RhizoFungi.2p.D3,Tunnel - 6,Selfgraft,Rhizosphere,Fungi,OHREC,Peak_Harvest,2015,5,15RhizoFungi.2p.D3
15RhizoFungi.H8,Tunnel - 1,Selfgraft,Rhizosphere,Fungi,OHREC,Peak_Harvest,2015,6,15RhizoFungi.H8
15RhizoFungi.2p.A4,Tunnel - 2,RST-04-106,Rhizosphere,Fungi,OHREC,Peak_Harvest,2015,7,15RhizoFungi.2p.A4
15RhizoFungi.2p.B3,Tunnel - 4,RST-04-106,Rhizosphere,Fungi,OHREC,Peak_Harvest,2015,8,15RhizoFungi.2p.B3
15RhizoFungi.2p.D1,Tunnel - 5,RST-04-106,Rhizosphere,Fungi,OHREC,Peak_Harvest,2015,9,15RhizoFungi.2p.D1
15RhizoFungi.2p.D6,Tunnel - 6,RST-04-106,Rhizosphere,Fungi,OHREC,Peak_Harvest,2015,10,15RhizoFungi.2p.D6
15RhizoFungi.H11,Tunnel - 1,RST-04-106,Rhizosphere,Fungi,OHREC,Peak_Harvest,2015,11,15RhizoFungi.H11
15RhizoFungi.2p.A6,Tunnel - 3,RST-04-106,Rhizosphere,Fungi,OHREC,Peak_Harvest,2015,12,15RhizoFungi.2p.A6
15RhizoFungi.2p.D4,Tunnel - 6,Nongraft,Rhizosphere,Fungi,OHREC,Peak_Harvest,2015,13,15RhizoFungi.2p.D4
15RhizoFungi.H9,Tunnel - 2,Nongraft,Rhizosphere,Fungi,OHREC,Peak_Harvest,2015,14,15RhizoFungi.H9
15RhizoFungi.2p.A5,Tunnel - 4,Nongraft,Rhizosphere,Fungi,OHREC,Peak_Harvest,2015,15,15RhizoFungi.2p.A5
15RhizoFungi.2p.B4,Tunnel - 5,Nongraft,Rhizosphere,Fungi,OHREC,Peak_Harvest,2015,16,15RhizoFungi.2p.B4
15RhizoFungi.H12,Tunnel - 3,Nongraft,Rhizosphere,Fungi,OHREC,Peak_Harvest,2015,17,15RhizoFungi.H12
15RhizoFungi.H7,Tunnel - 1,Nongraft,Rhizosphere,Fungi,OHREC,Peak_Harvest,2015,18,15RhizoFungi.H7
15RhizoFungi.2p.A2,Tunnel - 1,Maxifort,Rhizosphere,Fungi,OHREC,Peak_Harvest,2015,19,15RhizoFungi.2p.A2
15RhizoFungi.2p.B6,Tunnel - 2,Maxifort,Rhizosphere,Fungi,OHREC,Peak_Harvest,2015,20,15RhizoFungi.2p.B6
15RhizoFungi.2p.C5,Tunnel - 4,Maxifort,Rhizosphere,Fungi,OHREC,Peak_Harvest,2015,21,15RhizoFungi.2p.C5
15RhizoFungi.2p.C3,Tunnel - 3,Maxifort,Rhizosphere,Fungi,OHREC,Peak_Harvest,2015,22,15RhizoFungi.2p.C3
15RhizoFungi.2p.D2,Tunnel - 6,Maxifort,Rhizosphere,Fungi,OHREC,Peak_Harvest,2015,23,15RhizoFungi.2p.D2
15RhizoFungi.2p.C4,Tunnel - 5,Maxifort,Rhizosphere,Fungi,OHREC,Peak_Harvest,2015,24,15RhizoFungi.2p.C4
15Group.Rhizo111,Tunnel - 4,Selfgraft,Rhizosphere,Fungi,Common Harvest,Peak Harvest,2015,25,15Group.Rhizo111
15Group.Rhizo108,Tunnel - 1,Selfgraft,Rhizosphere,Fungi,Common Harvest,Peak Harvest,2015,26,15Group.Rhizo108
