OTU_id	F14RootFungi.2p.A2	F14RootFungi.2p.B1	F14RootFungi.2p.B5	F14RootFungi.2p.B6	F14RootFungi.2p.D4	F14RootFungi.H12	F14RootFungi.G8	F14RootFungi.G4	F14RootFungi.G2	F14RootFungi.G5	F15RootFungi.2p.A2	F15RootFungi.2p.B6	F15RootFungi.2p.C5	F15RootFungi.2p.C3	F15RootFungi.2p.D2	F15RootFungi.2p.C4	F15Group.Root131	F15Group.Root99	F15RootFungi.G3	F15RootFungi.G8
Otu00001	2	2	1	1	7	2	1	7	1	7	2	17	11	12	9	10	2973	6	1177	14
Otu00002	19	5278	10	795	3072	1616	5	2	4	8	3	6	2122	81	3759	2307	3	8	4	3
Otu00003	1693	20	2459	3021	2464	3777	1	7	1	7	904	309	1508	6	34	1168	5	4	2	3
Otu00004	0	39	16	282	0	0	0	0	1	0	32	0	999	2	2	2	0	0	2	0
Otu00005	244	42	1658	454	25	44	636	258	19	256	29	44	11	10	2	0	7	0	48	5
Otu00006	143	1	105	360	182	1	497	26	2	0	35	2	73	649	68	0	51	0	45	122
Otu00007	176	11	175	294	164	32	183	639	96	115	87	54	227	180	145	139	59	222	360	45
Otu00008	6	0	2	0	1	0	11	1	3	0	172	1	0	4	1	2	384	2	110	625
Otu00009	220	0	16	64	167	129	14	26	32	78	2	154	11	159	6	1000	29	1	91	61
Otu00010	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0
Otu00011	621	2	1	1	0	3	48	1	3	101	0	0	0	0	0	0	0	2	0	1
Otu00012	0	1	125	108	0	90	744	1524	401	249	1	2	0	2	2	2	129	1661	447	2122
Otu00013	301	0	1459	39	2	45	0	0	5	2513	27	3360	1	3	58	139	86	1	357	0
Otu00014	34	0	2	13	10	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0
Otu00015	0	0	0	3	2	5	2	3	278	7	0	0	0	1	0	3	0	1	4	0
Otu00016	0	1	1	0	0	12	2	492	146	4	48	0	18	1	52	4	94	19	35	172
Otu00017	68	5	38	6	7	40	0	2	23	1	11	1526	5	82	9	6	31	1	22	14
Otu00018	0	0	1	2	0	1	4	35	5	9	9	16	42	128	0	29	0	0	1	0
Otu00019	0	0	0	0	0	0	4	49	1	29	0	0	2	24	0	25	0	0	0	0
Otu00020	35	11	24	8	8	9	0	14	0	0	34	10	52	56	30	4	0	0	0	1
Otu00021	0	0	0	0	1	1	1	0	0	0	0	0	1	4	4	1	1	0	0	0
Otu00022	27	4	9	13	19	6	0	3	0	5	39	25	26	24	71	35	0	0	4	0
Otu00023	57	3	6	7	15	8	7	2	88	24	4	205	22	62	2	72	16	0	13	4
Otu00024	143	0	4	13	1	3	1	45	3	2	0	2	0	1	0	11	1	1	12	2
Otu00025	3	0	10	20	0	4	10	329	4	181	241	17	56	15	0	10	6	81	69	7
Otu00027	0	2	0	0	0	0	0	14	0	13	15	0	0	1	36	0	0	14	105	16
Otu00028	0	0	15	0	0	0	0	8	0	10	0	0	4	0	0	8	1	0	0	0
Otu00029	1	193	0	1	0	128	1	873	1	183	0	1	1	333	262	9	6	0	506	0
Otu00030	1	5	0	0	1	2	0	3	6	0	0	0	1	0	0	3	0	0	1	2
Otu00031	0	0	0	0	0	0	0	0	0	0	192	18	72	639	1	165	9	0	0	1
Otu00032	2	5	0	0	0	0	7	2	1	0	0	3	0	4	0	2	2	2	0	2
Otu00033	18	5	4	16	9	0	29	0	0	47	0	0	0	0	0	0	0	0	0	0
Otu00034	9	0	5	44	0	2	0	0	0	0	9	0	0	0	0	1	1	0	0	460
Otu00035	0	0	0	0	0	0	1	0	0	1	1	3	0	0	0	0	2	11	112	4
Otu00036	0	0	0	0	0	0	0	0	0	0	3011	0	1	1538	1	120	0	1	1	0
Otu00037	17	5	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0
Otu00038	0	0	0	0	0	0	10	16	58	0	0	0	1	1	0	0	0	0	166	91
Otu00039	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0
Otu00040	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	2
Otu00042	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Otu00043	0	0	0	0	0	0	3823	0	0	0	0	0	0	0	0	0	0	2695	0	0
Otu00044	0	0	0	0	0	0	0	1	0	0	2	5	24	65	125	61	0	0	74	0
Otu00045	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0
Otu00046	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	6
Otu00047	0	0	0	0	0	0	107	27	16	0	0	0	0	0	0	0	0	0	10	4
Otu00048	0	0	0	0	2	0	47	51	0	0	0	24	0	0	0	11	0	0	0	1
Otu00050	10	2	1	6	5	0	4	5	4	1	1	3	2	2	0	1	0	0	1	1
Otu00051	78	0	0	13	3	0	0	0	0	0	14	0	0	0	145	0	0	0	0	0
Otu00052	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Otu00053	76	0	10	2	0	106	1	0	0	3	0	0	1	143	1	10	1	0	1	0
Otu00054	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00055	8	0	0	0	0	2	55	30	10	116	0	3	0	0	0	3	20	24	20	0
Otu00060	0	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	5	0
Otu00061	0	719	1	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00063	0	0	1	0	0	0	4	60	0	15	0	0	0	0	0	0	68	112	69	29
Otu00064	17	1	0	6	0	3	0	3	1	3	0	8	2	0	0	0	0	28	15	0
Otu00067	0	1	0	0	0	0	3	0	3	0	15	0	22	2	374	23	22	0	57	6
Otu00069	0	1	0	0	0	0	1	1	3588	0	0	0	0	0	0	0	5	0	3	0
Otu00070	0	0	27	46	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
Otu00071	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00072	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu00073	0	0	0	0	0	0	0	13	1	0	0	1	1	0	2	0	0	0	0	0
Otu00075	0	0	0	0	0	0	0	48	0	3	126	205	10	113	0	65	18	0	203	128
Otu00076	14	0	0	0	5	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
Otu00077	0	0	4	2	1	0	0	0	0	0	43	0	0	0	0	11	0	0	0	0
Otu00078	0	0	5	0	0	0	9	0	0	1	3	0	0	3	8	1	0	0	0	0
Otu00079	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	229	7
Otu00080	26	0	0	1	1	0	0	2	0	0	0	11	0	4	1	8	0	0	0	0
Otu00082	1164	0	126	34	0	6	0	0	0	1	63	4	0	1081	0	0	77	0	1	0
Otu00083	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5	0	0	1	0
Otu00084	21	0	0	1	72	0	0	4	0	2	6	9	60	20	11	0	1	1	36	5
Otu00085	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	16	8	0
Otu00086	0	0	0	1	92	0	0	0	0	0	6	0	101	0	236	59	0	0	0	0
Otu00087	0	0	1	0	0	2	0	0	1	70	0	0	0	0	0	0	0	0	0	0
Otu00088	6	17	0	0	14	0	0	0	0	0	0	0	1	0	0	0	0	32	0	0
Otu00089	564	0	0	0	0	85	0	0	0	0	0	196	16	1	16	349	0	0	97	1
Otu00090	0	0	0	0	0	0	14	198	432	51	0	0	1	0	0	0	44	4	51	9
Otu00091	0	0	0	0	0	0	0	0	0	758	0	0	0	0	0	0	0	0	0	0
Otu00092	1	0	1	38	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00093	0	0	0	0	0	0	0	0	0	0	0	0	1	16	0	0	0	0	0	0
Otu00094	88	0	0	11	2	2	7	14	1	0	23	0	0	0	0	1	4	0	0	0
Otu00095	0	0	0	0	0	0	0	0	0	0	0	10	9	0	21	0	0	0	0	0
Otu00096	0	0	0	0	0	0	0	0	0	0	0	0	10	36	0	0	0	0	338	1
Otu00097	86	1	0	9	0	0	0	172	0	1	7	2	0	3	3	7	4	3	6	0
Otu00098	3	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00100	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00101	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00102	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	1	0
Otu00103	0	0	0	0	1	0	58	0	4	0	0	1	0	0	0	0	0	69	6	0
Otu00104	6	0	0	4	25	0	0	0	0	0	0	0	2	0	0	0	0	0	102	0
Otu00105	0	1	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
Otu00106	0	0	0	1	0	0	1	2	0	0	4	0	0	0	0	0	0	0	0	0
Otu00107	0	0	0	0	0	1	3	0	0	0	0	3	26	0	0	0	0	0	0	0
Otu00108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	213	22
Otu00109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	95	0
Otu00110	11	0	0	0	0	1	7	0	0	5	1	4	0	3	0	0	7	13	3	0
Otu00111	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0
Otu00115	0	39	1	0	7	4	0	0	0	0	2	0	36	93	250	23	0	0	0	0
Otu00117	0	0	0	0	0	0	101	0	2	1	0	0	0	0	0	0	1	0	0	0
Otu00119	0	96	0	2	16	7	0	0	0	0	0	0	4	0	3	16	0	0	0	0
Otu00121	0	0	0	0	0	0	0	32	0	0	0	1	0	0	0	0	0	0	0	1074
Otu00122	0	0	0	0	0	0	15	24	0	0	0	0	0	0	0	0	0	0	0	0
Otu00124	0	1	0	0	1	0	0	438	0	0	0	0	0	0	0	0	0	0	0	0
Otu00125	0	0	0	0	0	0	32	16	13	0	0	0	0	0	0	0	0	0	0	0
Otu00127	0	0	2	5	0	0	1	0	0	0	18	3	0	0	0	0	1	0	66	0
Otu00128	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0
Otu00129	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
Otu00131	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	6	0
Otu00132	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
Otu00136	0	0	0	0	1	0	0	0	0	0	16	0	66	0	11	0	0	0	1	0
Otu00137	32	2	1	3	50	1	1	0	0	1	0	74	2	10	1	21	0	0	4	0
Otu00138	41	0	27	16	40	72	0	1	0	0	0	0	52	0	50	0	0	0	0	1
Otu00139	0	0	0	0	0	0	0	0	183	20	0	0	0	1	0	0	444	7	1	0
Otu00140	14	0	0	5	0	72	0	1	0	0	0	0	3	1	0	0	23	0	7	7
Otu00143	1	7	3	1	4	0	0	0	0	0	0	0	6	0	6	0	0	0	0	0
Otu00144	0	0	12	0	0	0	0	0	0	0	31	0	0	0	0	10	0	1	0	17
Otu00145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1431	0	0
Otu00146	1	17	5	1	0	1	0	13	0	17	0	1	2	34	0	3	0	3	0	0
Otu00148	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	2	0	0
Otu00149	6	0	0	4	0	8	0	56	0	45	118	0	0	210	0	60	15	0	0	0
Otu00151	0	3	0	0	0	0	2	15	10	8	0	0	0	0	0	0	4	0	0	17
Otu00154	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0
Otu00155	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	1
Otu00156	0	0	0	1	5	0	0	0	0	0	0	0	0	0	31	22	0	0	0	0
Otu00157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0
Otu00160	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	24	0	0
Otu00161	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	2	4
Otu00164	0	0	0	0	0	0	0	1	0	1	14	0	0	0	0	0	0	0	0	0
Otu00166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1223
Otu00167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	193	20
Otu00168	7	0	0	0	3	0	0	0	0	0	21	0	10	32	1	82	0	0	0	0
Otu00169	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00170	4	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu00172	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
Otu00173	0	0	35	121	0	8	0	0	0	0	0	0	0	87	0	0	0	0	0	0
