OTU_id	F14RhizoFungi.2p.A1	F14RhizoFungi.2p.C2	F14RhizoFungi.2p.C4	F14RhizoFungi.2p.D3	F14RhizoFungi.H8	F14RhizoFungi.H9	F14Group.Rhizo108	F14Group.Rhizo99	F14RhizoFungi.G10	F14RhizoFungi.H3	F15RhizoFungi.2p.B1	F15RhizoFungi.2p.C2	F15RhizoFungi.2p.A1	F15RhizoFungi.2p.B5	F15RhizoFungi.2p.D3	F15RhizoFungi.H8	F15Group.Rhizo111	F15Group.Rhizo108	F15RhizoFungi.G10	F15RhizoFungi.G5
Otu00001	401	1	0	0	0	126	0	0	0	0	1	0	0	0	1	1	245	260	128	1
Otu00002	0	23	395	33	194	24	485	4	4	3	1851	1	1	0	1	1	3	27	1	0
Otu00003	0	164	8	116	403	67	30	2	1	0	24	0	0	15	69	0	2	62	0	1
Otu00004	1064	349	247	1020	1693	2825	226	11	143	364	2	37	2292	513	1703	1728	790	687	4	7
Otu00005	579	1215	1190	321	700	713	283	1618	2769	355	7	56	14	24	5	159	25	39	34	184
Otu00006	252	646	2108	1029	1171	452	13	843	1032	329	20	67	30	0	14	277	0	22	2	36
Otu00007	1061	118	127	117	65	244	13	408	70	156	754	474	646	721	260	158	5	75	194	112
Otu00008	0	0	0	54	0	7	0	34	8	0	0	5	0	0	0	3	2	0	98	580
Otu00009	0	7	14	1	17	25	2	13	1	10	62	192	15	143	64	21	134	5	3	1
Otu00010	1	18	22	4	18	14	968	5	15	32	4	1	2	0	0	0	16	47	0	11
Otu00011	0	0	0	1	0	15	0	2	0	1055	0	0	0	0	0	0	0	0	0	0
Otu00012	0	0	0	0	0	1	1	2	37	188	9	0	3	1	1	1	4	102	863	436
Otu00013	1	7	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Otu00014	1027	1896	646	537	450	157	4	44	457	4	5	18	0	5	2	1140	5	26	0	0
Otu00015	0	1	2	0	0	0	3	5	0	0	11	4	0	6	30	2	10	6	0	2
Otu00016	0	0	11	57	2	0	37	0	5	0	10	59	26	23	20	7	3	50	1518	1682
Otu00017	0	1	4	5	14	32	19	2	0	0	10	78	29	208	111	101	46	37	1	3
Otu00018	0	710	6	0	1	84	76	1	2	0	3	4	229	131	0	195	202	9	0	18
Otu00019	0	0	0	151	1	31	18	324	832	294	86	251	1	82	153	722	34	58	160	153
Otu00020	49	147	95	116	207	54	1	4	21	21	23	244	187	894	355	42	2	1	48	10
Otu00021	0	0	0	0	0	0	13	0	0	0	1	0	0	0	1	1	1	0	0	10
Otu00022	99	70	106	139	110	50	14	14	1	89	17	89	2	128	174	31	14	44	0	866
Otu00023	1	2	21	0	0	9	2	5	1	8	5	7	3	10	0	3	1	1	1	0
Otu00024	0	6	3	0	56	19	249	32	10	32	121	143	6	78	64	22	126	27	90	6
Otu00025	9	42	32	1	3	44	6	39	5	57	131	160	101	64	7	96	111	75	0	77
Otu00026	0	0	0	0	0	0	658	0	0	0	0	1	0	8	0	1	1390	266	2	1
Otu00027	8	36	22	1	7	12	147	26	2	1219	6	1	2	1	9	19	0	10	188	10
Otu00028	22	10	5	0	1	1	381	10	1	25	38	0	14	52	0	10	131	102	42	14
Otu00029	0	4	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	14
Otu00030	9	8	0	0	2	10	444	8	1	4	11	114	33	12	2	16	174	13	7	1
Otu00031	0	0	0	0	0	0	1	0	0	0	0	25	0	52	95	8	0	1	0	0
Otu00032	2	1	0	3	1	2	70	58	13	3	26	10	11	11	77	35	10	15	2	22
Otu00033	25	85	124	81	165	48	4	18	472	116	29	19	0	0	0	9	3	0	0	0
Otu00034	0	3	69	5	3	20	8	1	0	0	7	29	0	47	14	97	161	88	1	0
Otu00035	1	0	0	0	0	1	19	361	11	56	1	3	2	3	0	2	0	0	2	84
Otu00036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0
Otu00037	2	17	3	0	15	0	62	2	0	0	231	0	1	38	25	0	1	0	2	0
Otu00038	0	0	0	0	0	0	4	8	0	0	2	0	0	0	0	0	0	0	0	72
Otu00039	0	1	0	0	0	1	20	1	0	0	0	0	0	0	23	17	0	1	1	0
Otu00041	0	0	0	0	0	1	0	319	0	0	0	1	1	1	1	0	7	2784	1	0
Otu00043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0
Otu00044	0	0	0	22	0	0	0	0	0	0	26	35	0	38	1	2	0	0	0	1
Otu00045	0	0	4	0	3	24	30	0	0	51	98	2	0	37	3	8	11	4	98	3
Otu00046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	134	42	74
Otu00047	0	0	0	271	1	3	15	228	23	41	0	0	13	0	0	1	0	0	1	45
Otu00048	0	0	19	0	0	0	57	0	0	0	13	77	0	340	1	2	39	10	0	7
Otu00050	0	13	12	8	6	7	30	165	52	16	11	13	19	8	29	19	9	14	3	20
Otu00051	49	133	81	98	180	332	0	0	9	1	60	64	74	87	32	10	0	0	1	0
Otu00053	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0
Otu00054	0	1	0	0	8	7	32	0	0	0	48	8	0	6	2	46	879	91	0	0
Otu00055	1	3	0	0	0	2	0	25	56	0	0	9	0	1	0	0	2	0	93	14
Otu00056	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	104	0
Otu00058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
Otu00059	0	0	0	0	0	0	18	0	0	0	0	0	0	1	0	0	2	0	0	1
Otu00060	0	6	1	0	0	0	304	0	18	0	0	0	0	36	0	1	27	63	31	19
Otu00062	0	0	1	0	0	0	6	1	0	0	0	4	0	0	0	0	0	0	0	0
Otu00063	1	0	0	0	0	0	0	50	87	30	0	3	0	0	0	0	1	0	43	419
Otu00064	0	2	0	2	0	0	3	1	0	0	5	0	602	104	32	5	17	35	0	0
Otu00065	0	0	0	0	0	0	0	0	0	0	0	1798	0	378	0	0	6	4	0	21
Otu00067	0	0	0	8	6	0	0	0	0	0	10	0	0	15	1	2	0	0	0	7
Otu00069	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0
Otu00070	0	57	43	0	1	0	0	0	0	0	0	0	0	47	16	3	0	0	0	1
