OTU_id	F14RootFungi.2p.A5	F14RootFungi.2p.B4	F14RootFungi.2p.C3	F14RootFungi.2p.C5	F14RootFungi.2p.D2	F14RootFungi.H7	F14RootFungi.G3	F14Group.Root123	F14RootFungi.G9	F14RootFungi.H2	F15RootFungi.2p.D4	F15RootFungi.H9	F15RootFungi.2p.A5	F15RootFungi.2p.B4	F15RootFungi.H12	F15RootFungi.H7	F15RootFungi.F11	F15RootFungi.G4	F15RootFungi.G9	F15RootFungi.H2
Otu00001	2504	2	5	4	3	7	13	2	6	2	11	1009	5	14	8	15	42	16	17	8
Otu00002	3669	20	3042	1334	307	12	5	5	3	2	277	2508	5526	19	8	11	13	2	14	226
Otu00003	11	2276	1324	4162	4847	3396	4	5	2	1	2	7	231	3509	54	9	6	2	15	5
Otu00004	0	0	0	1	2	21	0	0	0	0	704	0	0	1	1277	0	0	0	0	0
Otu00005	120	384	49	176	8	29	522	21	367	292	24	0	1	118	0	0	45	0	2	42
Otu00006	94	106	36	201	8	33	139	1	58	27	0	0	8	0	0	106	0	0	0	0
Otu00007	9	374	20	3	68	148	26	30	101	152	461	34	25	62	438	205	113	30	3	105
Otu00008	2	24	2	0	0	0	1	0	0	1	1	0	3	24	23	1	245	1	7	161
Otu00009	3	45	21	6	7	0	6	0	3	10	5	254	8	169	306	5	54	52	66	264
Otu00010	0	0	37	0	0	0	1	0	8	0	0	0	0	0	10	0	0	0	0	0
Otu00011	2	1	1	2	0	1	5082	1544	3374	0	0	0	0	0	0	0	0	0	0	500
Otu00012	0	4	1	0	0	0	91	263	33	34	1	4	1	0	1	4	880	242	1745	191
Otu00013	1	1014	622	119	240	2303	1	3559	1	34	116	0	3	1478	2	43	466	1	0	1127
Otu00014	26	22	0	6	13	0	0	9	0	0	0	0	0	0	37	0	0	0	0	0
Otu00015	1	2	4	3	13	3	1	2	3	4	0	0	1	1	0	9	2	5	8	1
Otu00016	69	313	0	0	36	9	0	2	8	463	1	1	0	32	17	1	135	493	7	2670
Otu00017	17	10	0	6	0	0	0	0	0	0	14	18	4	2	188	2	24	3	2	0
Otu00018	1	0	0	0	1	1	0	0	0	14	0	1171	1	0	411	695	51	5	0	0
Otu00019	0	0	20	0	0	0	7	0	0	33	0	0	3	0	0	0	0	0	0	92
Otu00020	10	123	4	4	14	11	12	0	0	0	20	0	8	58	30	48	1	0	0	19
Otu00021	2	0	2	2	1	0	0	1	0	0	3	1	2	4	2	0	3	1	1	3
Otu00022	0	26	0	3	4	11	0	0	0	4	82	37	2	41	94	309	0	27	0	29
Otu00023	14	5	9	4	2	45	3	10	0	0	3	2	10	58	31	25	23	3	3130	24
Otu00024	0	26	1	0	0	0	0	0	0	2	0	15	2	0	0	1	2	3	648	0
Otu00025	0	107	6	5	0	14	79	26	8	63	21	34	8	73	237	728	33	6	1	36
Otu00026	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00027	0	0	0	0	0	0	0	0	0	18	0	8	32	0	0	1	0	12	0	28
Otu00028	17	0	0	0	0	0	0	0	8	1	0	0	5	0	6	0	0	0	0	9
Otu00029	0	0	156	66	0	0	0	96	28	199	1	29	49	176	3	95	1081	30	2	316
Otu00030	6	0	9	0	0	0	0	0	0	1	0	11	2	0	2	0	11	0	0	4
Otu00031	0	0	0	0	5	0	3	0	0	63	2119	97	5	16	174	1469	0	0	1	0
Otu00032	1	0	0	0	0	0	0	0	1	0	3	0	1	3	2	0	1	1	7	0
Otu00033	0	12	7	17	0	1	473	0	6	43	0	0	0	3	0	0	0	0	0	0
Otu00034	0	0	3	0	0	0	0	1	0	0	14	15	6	1	70	1	15	0	0	0
Otu00035	0	0	0	0	0	0	2	0	0	0	0	0	2	0	13	0	0	2	0	9
Otu00036	0	0	0	0	0	0	0	0	0	0	146	0	1	1	1	1	1	0	3	0
Otu00038	0	0	0	0	0	0	0	0	1	0	0	1	0	2	1	0	50	0	0	0
Otu00039	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00040	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	4927	2	1
Otu00043	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0
Otu00044	0	15	1	0	40	0	0	0	0	0	6	16	0	25	0	1	8	0	0	3
Otu00045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
Otu00046	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	256	0	2	0
Otu00047	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	2	0	4	0	8
Otu00048	0	0	0	0	4	0	0	0	0	0	342	101	0	0	0	0	0	0	0	0
Otu00049	0	3	1	0	0	0	0	2	0	0	0	0	1	2	0	0	0	1	0	0
Otu00050	1	3	0	4	2	1	1	0	1	0	0	1	1	6	2	0	4	1	0	1
Otu00051	0	7	25	0	3	4	0	0	0	0	0	0	0	0	0	68	0	0	0	0
Otu00053	15	61	105	1	8	32	0	0	0	0	0	0	6	2	13	0	0	0	2	0
Otu00054	0	0	0	1	0	0	0	0	0	0	0	31	0	0	0	0	0	0	8	0
Otu00055	1	0	1	0	0	0	0	0	84	11	0	0	1	0	36	0	108	0	11	2
Otu00056	0	0	0	0	0	0	0	0	0	1134	0	0	0	0	0	0	0	0	0	0
Otu00057	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu00061	0	0	0	0	77	0	0	0	1447	0	0	0	0	0	0	0	0	0	0	0
Otu00063	0	0	0	0	0	0	3	22	0	331	1	0	0	2	0	0	71	5	0	19
Otu00064	0	19	0	0	0	0	0	0	0	0	0	0	5	20	632	80	37	0	0	0
Otu00065	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0
Otu00067	0	284	0	0	1	0	0	0	0	0	0	16	0	57	0	0	15	2	0	0
Otu00068	0	0	0	0	0	0	0	0	0	1025	1	0	0	0	0	1	0	0	2	1
Otu00069	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
Otu00070	0	0	0	0	0	0	0	0	0	0	0	0	18	1	715	0	0	0	0	0
Otu00072	0	0	1	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0
Otu00073	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0
Otu00075	0	1	0	0	2	0	0	42	0	91	25	2	1	18	77	88	20	1	4	0
Otu00076	0	0	6	4	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	0
Otu00077	0	8	2	0	0	4	0	0	0	0	0	0	0	0	12	148	0	0	0	0
Otu00078	0	0	0	0	0	0	0	0	0	1	340	1	0	1	1	7	0	0	0	0
Otu00079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	1	10
Otu00080	0	3	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Otu00082	0	13	0	0	0	1	0	1	0	35	0	0	0	0	29	0	1	0	0	0
Otu00084	0	0	9	6	0	0	0	0	4	0	0	30	0	2	5	32	7	0	1	99
Otu00085	0	0	0	0	0	0	6	0	8	0	0	0	0	0	0	0	0	0	0	6
Otu00086	1	0	10	70	331	0	0	0	0	0	445	0	1	0	0	0	0	0	0	0
Otu00087	0	1	0	0	0	0	0	0	0	1161	0	0	0	0	0	0	0	0	0	0
Otu00088	0	0	0	0	0	0	0	0	2	31	0	0	5	25	0	0	0	0	0	0
Otu00089	0	0	0	0	0	3	0	0	0	0	221	0	1	12	0	0	221	0	0	41
Otu00090	0	0	0	0	0	1	0	4	0	26	2	0	0	0	0	0	34	0	0	9
Otu00092	0	1	1	1	0	16	0	0	0	22	0	0	0	0	0	28	0	0	0	0
Otu00094	3	1	3	9	0	0	0	0	0	0	0	0	147	0	0	129	0	5	0	0
Otu00095	0	0	0	0	0	0	0	0	0	0	132	10	0	0	469	0	1	0	0	0
Otu00096	0	0	0	0	0	0	0	0	0	0	25	562	0	0	0	260	0	0	0	0
Otu00097	0	12	0	6	0	0	0	0	0	3	4	7	0	0	3	11	0	2	0	1
Otu00099	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
Otu00102	0	0	0	0	0	0	0	18	0	1	0	0	0	0	23	0	0	0	0	0
Otu00103	0	0	42	0	0	0	0	0	2	0	0	0	0	0	0	0	0	10	37	0
Otu00104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0
Otu00105	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00106	0	0	1	0	12	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0
