OTU_id	F14RootFungi.2p.A4	F14RootFungi.2p.A6	F14RootFungi.2p.B3	F14RootFungi.2p.D1	F14RootFungi.2p.D6	F14RootFungi.H11	F14Group.Root111	F14RootFungi.G12	F14RootFungi.G7	F14RootFungi.H5	F15RootFungi.2p.A4	F15RootFungi.2p.B3	F15RootFungi.2p.D1	F15RootFungi.2p.D6	F15RootFungi.H11	F15RootFungi.2p.A6	F15RootFungi.G12	F15RootFungi.G2	F15RootFungi.G7	F15RootFungi.H5
Otu00001	5	198	4	5	4	7	9	5	3	121	68	12	15	10	15	3661	8	7	28	11
Otu00002	943	3718	2892	547	2444	16	1482	4	3	2	5	5996	2086	3498	9	2475	2	2	20	382
Otu00003	62	42	3272	4567	2769	4216	13	6	9	4	712	6	13	250	3	13	8	0	14	4
Otu00004	1	576	0	25	0	0	0	50	105	0	59	0	1	1	0	0	1	0	2	0
Otu00005	508	387	41	78	17	510	62	475	136	332	134	1	0	64	29	15	9	2	72	97
Otu00006	346	96	53	106	4	158	65	298	28	31	0	0	0	1	0	4	1	0	1	128
Otu00007	335	35	29	34	7	285	0	162	105	148	295	3	619	264	1119	5	207	44	32	152
Otu00008	2	1	0	1	1	3	7	0	0	2	4	1	1	2	4	2	29	3679	23	0
Otu00009	259	46	1	4	4	41	146	12	8	22	24	14	75	6	132	18	49	21	77	3
Otu00010	0	0	0	0	0	0	208	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu00011	4	2	2	0	0	4	0	4247	0	4254	47	0	0	0	908	0	0	0	1	0
Otu00012	0	0	0	0	0	1	0	2	0	0	0	4	2	0	2	0	625	969	35	479
Otu00013	88	22	25	54	38	9	1	0	3	152	92	0	2	897	0	2	210	1	10	0
Otu00014	138	0	0	1	0	102	2	0	5	0	0	0	0	12	0	0	0	0	38	0
Otu00015	5	3	1	0	3	4	7	2	1	1	0	0	2	0	0	0	0	1	1	1
Otu00016	45	8	76	2	1	28	2	84	32	138	0	1	1	2	2	3	1256	199	2129	327
