OTU_id	F14RootFungi.2p.A1	F14RootFungi.2p.C2	F14RootFungi.2p.C4	F14RootFungi.2p.D3	F14RootFungi.H8	F14RootFungi.H9	F14Group.Root108	F14Group.Root99	F14RootFungi.G10	F14RootFungi.H3	F15RootFungi.2p.B1	F15RootFungi.2p.C2	F15RootFungi.2p.A1	F15RootFungi.2p.B5	F15RootFungi.2p.D3	F15RootFungi.H8	F15Group.Root111	F15Group.Root108	F15RootFungi.G10	F15RootFungi.G5
Otu00001	1852	4	5	8	1	2261	4	6	3	8	6	28	15	7	11	23	6393	5607	4401	8
Otu00002	13	11	5372	960	1508	65	4239	16	9	7	5480	13	12	88	750	10	1	5	3	3
Otu00003	37	4891	11	4296	3065	3574	28	8	9	6	257	10	3474	567	3531	5	1	8	2	4
Otu00004	0	3	4	77	0	0	296	0	0	0	0	0	1	0	1	1	0	0	1	1
Otu00005	202	219	239	23	44	70	28	2570	1421	458	0	12	252	0	60	360	0	1	46	16
Otu00006	327	237	213	98	304	7	36	418	209	331	0	17	1	0	120	11	0	0	0	0
Otu00007	712	45	100	79	84	87	14	143	80	145	286	829	304	1364	48	596	0	12	103	105
Otu00008	2	2	0	40	0	60	0	5	23	0	1	88	2	1	1	60	3	6	39	435
Otu00009	1461	2	3	3	5	3	0	2	570	62	3	854	142	30	114	26	85	21	5	7
Otu00010	0	0	0	0	0	0	1	0	1	5	0	0	0	0	0	0	0	1	0	0
Otu00011	1	0	1	2	1	9	0	3	10	3416	0	1	0	1	0	1	0	0	0	0
Otu00012	0	36	0	0	0	1	54	0	2335	100	3	1	1	0	0	2	2	9	633	782
Otu00013	496	728	0	201	672	58	3	1	16	614	1	1	0	0	27	0	0	1	2	1
Otu00014	0	111	30	0	18	0	0	0	0	0	0	0	0	0	0	280	0	2	0	0
Otu00015	2	1	0	3	0	2	1	2	12	9	0	1	0	1	0	0	0	0	0	0
Otu00016	0	18	36	102	14	2	14	3	18	7	1	156	0	1	76	85	3	27	108	2607
Otu00017	36	1	2	3	0	5	0	0	2	0	0	620	7	61	68	15	3	52	0	0
Otu00018	1	0	0	0	0	22	2	0	2	0	1	0	20	246	0	808	30	4	1	33
Otu00019	0	0	9	0	0	0	0	0	77	35	0	0	0	0	1	111	6	0	0	0
Otu00020	75	2	21	5	55	4	0	0	0	1	0	123	0	373	183	112	0	0	6	7
Otu00021	1	0	1	1	1	0	292	0	0	0	5	5	0	2	2	0	1	1	0	1
Otu00022	72	0	23	9	12	8	0	0	0	3	0	0	33	116	1	191	1	1	19	308
Otu00023	16	8	6	18	4	9	15	16	135	105	2	72	21	154	23	17	1	11	77	2
Otu00024	13	0	0	0	1	0	2	0	3	27	0	30	4	7	0	0	1	5	2	8
Otu00025	33	2	5	1	10	20	0	23	112	77	12	106	150	350	14	248	3	7	10	133
Otu00026	0	0	0	0	0	0	125	0	5	0	0	0	0	0	0	0	35	13	0	0
Otu00027	0	0	1	0	0	0	0	15	0	136	12	0	1	1	92	0	0	0	187	19
Otu00028	0	0	0	0	0	0	9	0	17	0	0	0	0	0	0	0	0	23	0	0
Otu00029	0	36	14	0	0	37	0	0	0	2	2	1	2	33	17	0	0	2	1	67
Otu00030	42	0	1	0	0	0	3	1	0	3	0	12	16	0	0	0	15	1	0	0
Otu00031	24	0	0	0	0	5	0	0	0	0	0	69	38	248	367	56	4	6	0	0
Otu00032	0	1	0	0	1	1	0	1	7	3	1	4	1	2	1	1	0	0	0	10
Otu00033	2	24	22	42	1	0	0	241	207	0	0	0	1	0	25	1	0	0	0	0
Otu00034	2	0	22	1	1	0	0	0	0	0	0	42	0	63	0	394	4	1	0	1
Otu00035	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	6
Otu00036	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	1043	0	0	0	0
Otu00037	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0
Otu00038	0	0	0	0	0	0	0	0	41	0	0	1	2	0	0	0	0	0	46	73
Otu00039	1	0	0	0	0	0	316	0	0	1	0	0	0	0	0	0	0	16	0	0
Otu00040	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	1	0	1	1	0
Otu00042	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0
Otu00043	0	1	0	1	0	0	0	0	0	0	0	2	0	1	1	0	1	1	0	0
Otu00044	0	0	0	27	0	0	0	0	0	0	16	242	1	34	13	88	0	0	0	4
Otu00045	0	0	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	5	0
Otu00046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	124	63
Otu00047	0	0	0	9	0	0	0	49	43	0	0	0	0	0	23	0	0	0	0	23
Otu00048	0	0	0	5	0	1	0	0	0	0	0	180	0	0	0	396	16	0	0	0
Otu00049	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0
Otu00050	4	14	1	3	4	0	1	11	9	9	0	3	15	0	0	2	0	0	0	3
Otu00051	11	0	22	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00053	0	80	0	10	0	0	1	0	2	0	0	231	36	1	0	0	3	24	1	0
Otu00054	0	1	0	0	0	0	15	0	0	0	0	1	0	0	0	0	30	5	0	0
Otu00055	0	1	0	1	0	0	1	105	106	100	0	22	0	0	0	0	1	0	211	5
Otu00056	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	114	0
Otu00061	0	36	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu00063	0	0	0	0	0	0	0	25	70	23	0	16	0	0	0	0	0	0	0	143
Otu00064	0	0	0	0	0	2	0	0	0	0	0	5	20	100	14	0	1	1	0	0
Otu00065	0	0	0	0	0	0	0	0	0	0	0	367	0	199	1	0	0	0	0	58
Otu00067	0	0	0	2	3	0	0	0	0	0	6	1	0	33	44	27	0	0	0	2
Otu00069	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0
Otu00070	0	0	0	0	0	0	0	0	0	0	0	0	0	53	41	13	0	0	0	0
Otu00071	2	2	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
Otu00072	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	7	7	0	0
Otu00073	0	0	0	0	0	0	0	0	8	0	1	1	0	0	0	1	0	0	1	0
Otu00074	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0
Otu00075	0	0	0	0	0	0	0	0	0	0	4	377	222	162	82	40	0	4	0	13
Otu00076	0	0	0	142	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Otu00077	55	0	13	12	0	0	0	1	0	0	0	1	3	0	36	117	0	0	0	0
Otu00078	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Otu00079	0	0	0	0	0	0	0	0	0	0	0	0	617	0	1	0	0	0	0	0
Otu00080	0	0	0	0	2	0	0	0	0	0	5	51	2	0	5	0	0	0	0	0
Otu00082	299	5	0	52	1	0	1	0	0	1	0	0	0	0	0	13	0	0	0	1
Otu00084	26	0	5	1	0	1	0	0	2	0	0	18	20	0	67	82	0	0	23	6
Otu00085	0	0	0	0	0	0	2	0	3	13	0	0	0	0	0	0	0	0	19	0
Otu00086	0	0	188	108	129	45	0	0	0	0	0	0	0	1	125	0	0	13	0	0
Otu00087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
Otu00088	44	0	5	0	0	0	0	0	0	0	0	0	0	128	0	0	8	0	0	0
Otu00089	0	0	0	0	0	0	6	0	0	3	6	85	0	1	0	1	0	14	0	0
Otu00090	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	71	92
Otu00092	0	12	6	0	7	0	1	1	27	39	0	0	2	2	0	0	0	0	0	0
Otu00093	0	0	5	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00094	26	2	30	24	1	0	1	0	0	0	0	0	0	0	0	7	0	0	0	1
Otu00095	0	0	4	0	0	0	0	0	0	0	0	0	55	0	7	22	3	3	0	0
Otu00096	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	40
Otu00097	8	0	0	0	4	1	0	0	0	2	2	5	0	0	0	1	0	1	7	0
Otu00098	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
Otu00099	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	612	0	0
Otu00100	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0
Otu00101	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00102	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0
Otu00103	1	1	0	0	0	0	0	66	589	4	1	0	0	33	0	0	0	0	120	0
Otu00104	0	0	0	0	0	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Otu00106	0	0	1	2	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0
Otu00107	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0
Otu00110	2	0	0	10	0	1	0	6	32	23	0	0	173	0	0	1	0	0	0	0
Otu00112	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	11	25
Otu00114	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0
Otu00115	87	0	3	55	61	2	0	1	0	0	0	46	69	1	12	131	0	0	0	0
Otu00119	1	1	14	5	12	0	45	0	0	0	18	0	0	1	2	0	0	0	0	0
Otu00121	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0
Otu00122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Otu00124	3	0	0	0	0	0	0	119	0	0	0	0	0	112	0	0	0	0	0	0
Otu00126	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
Otu00127	1	1	26	0	9	47	47	0	0	0	0	0	0	0	0	0	1	0	0	0
Otu00128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
Otu00129	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1
Otu00130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	35	0
Otu00132	0	1	0	1	0	0	0	0	0	100	0	0	0	0	1	0	0	0	0	1
Otu00134	0	0	0	0	0	0	5	0	22	1	0	0	0	0	0	0	0	0	0	0
Otu00136	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	23	0	0	0	1
Otu00137	4	1	0	23	1	5	3	19	0	1	0	8	19	5	1	3	1	1	0	1
Otu00138	1	0	0	0	27	10	0	0	0	25	1	0	0	0	0	0	0	0	0	4
Otu00140	0	4	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47
Otu00142	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	101	0	0	0	0
Otu00143	0	0	0	0	0	1	0	0	0	0	0	3	0	19	9	7	0	0	0	0
Otu00144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Otu00146	5	51	0	0	4	1	22	108	26	0	0	29	1	0	0	3	0	2	0	5
Otu00147	1	0	0	0	0	0	0	1803	0	0	0	0	0	0	0	0	0	0	0	0
Otu00149	0	0	0	0	33	0	0	0	0	2	16	0	11	0	0	37	0	0	0	0
Otu00150	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0
Otu00151	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Otu00153	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	81	0
Otu00154	1	0	0	0	0	0	744	31	0	0	0	0	0	0	0	0	0	0	0	0
Otu00155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
Otu00156	0	6	0	1	0	0	0	0	0	0	0	0	0	0	11	2	0	0	0	0
Otu00157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	63
Otu00160	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	121
Otu00161	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	1	3	2	12
Otu00162	1	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	7
Otu00163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
Otu00164	0	0	0	0	0	0	0	8	10	0	0	0	0	11	0	0	0	0	0	35
Otu00165	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	23	0	0
Otu00168	0	0	0	0	0	0	10	0	2	0	1	11	31	55	11	27	1	28	0	0
Otu00170	6	0	0	0	0	10	0	0	0	0	0	1	0	0	10	0	0	0	0	0
Otu00172	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Otu00173	5	7	14	0	0	28	0	0	0	0	0	20	43	0	1	12	0	0	0	0
