OTU_id	F14RhizoFungi.2p.A2	F14RhizoFungi.2p.B1	F14RhizoFungi.2p.B5	F14RhizoFungi.2p.B6	F14RhizoFungi.2p.D4	F14RhizoFungi.H12	F14RhizoFungi.G8	F14RhizoFungi.G4	F14RhizoFungi.G2	F14RhizoFungi.G5	F15RhizoFungi.2p.A2	F15RhizoFungi.2p.B6	F15RhizoFungi.2p.C5	F15RhizoFungi.2p.C3	F15RhizoFungi.2p.D2	F15RhizoFungi.2p.C4	F15Group.Rhizo131	F15Group.Rhizo99	F15RhizoFungi.G3	F15RhizoFungi.G8
Otu00001	5	1	0	0	0	0	0	0	1	0	0	0	1	2	0	2	384	1	6	2
Otu00002	175	1650	1	1391	2002	334	3	4	2	2	0	0	147	9	510	75	0	7	1	2
Otu00003	572	63	184	236	219	367	4	0	2	2	130	4	286	0	29	2	0	2	3	2
Otu00004	162	2190	409	144	964	404	273	194	282	48	11	1691	2166	1177	1026	1828	732	163	23	2
Otu00005	826	269	692	943	691	517	1101	570	711	927	32	130	109	98	89	15	187	98	148	0
Otu00006	282	408	878	655	410	1161	268	95	455	249	126	30	138	150	280	41	22	134	76	3
Otu00007	261	126	252	232	227	232	386	445	397	70	276	118	144	82	476	20	304	392	198	57
Otu00008	5	0	1	0	0	0	6	0	0	0	110	12	8	3	0	6	633	0	48	631
Otu00009	2	10	18	2	15	108	14	77	46	13	38	74	42	207	28	106	6	4	27	21
Otu00010	18	9	6	4	2	16	10	120	1	28	0	1	8	0	0	275	0	12	0	51
Otu00011	28	1	1	0	0	2	8	0	1	8	0	0	0	0	0	2	0	0	0	0
Otu00012	10	8	432	178	0	6	886	980	443	125	1	2	1	0	9	0	167	941	236	1631
Otu00013	20	16	32	4	0	0	0	0	0	237	71	2	0	0	0	0	13	0	0	0
Otu00014	1617	78	1060	1745	651	725	11	3	3	1	0	237	22	252	1	382	48	2	71	0
Otu00015	0	3	1	0	0	3	3	4	3	12	1	2	2	19	1	9	3	9	2	16
Otu00016	0	2	0	0	0	7	4	486	140	1	36	5	5	3	4	0	327	41	10	33
Otu00017	8	18	18	4	31	101	0	0	62	1	53	116	31	68	29	2	34	2	67	119
Otu00018	2	0	0	1	0	40	0	0	14	2	14	13	19	6	2	6	5	17	19	22
Otu00019	23	1	8	29	35	54	110	163	21	134	175	2	218	54	80	628	15	57	14	80
Otu00020	115	43	223	67	122	124	4	25	7	9	131	57	64	459	338	22	0	15	4	1
Otu00022	259	50	54	42	153	114	3	106	2	33	120	23	37	103	264	32	1	80	3	2
Otu00023	7	17	11	6	5	4	2	4	3	2	7	4	0	0	2	0	0	4	3	2
Otu00024	3	20	59	3	10	42	238	224	232	43	31	219	10	139	3	287	70	33	132	90
Otu00025	28	21	87	31	8	13	16	183	17	24	319	11	32	19	75	2	14	60	33	58
Otu00026	0	19	0	0	0	0	0	0	2	0	3	3	1	1	0	3	2	3	3	2
Otu00027	8	5	1	47	0	18	75	9	4	11	6	1	0	18	1	5	14	132	142	159
Otu00028	7	25	4	6	13	38	34	33	0	39	13	7	23	23	0	4	14	50	12	0
Otu00029	0	14	0	0	1	9	0	14	7	9	0	1	0	15	5	0	0	0	1	0
Otu00030	4	33	1	0	0	21	60	6	92	8	2	109	6	15	11	24	22	7	27	45
Otu00031	0	0	0	0	0	0	0	0	0	0	56	0	15	30	7	11	6	0	1	5
Otu00032	1	14	3	0	2	1	113	15	38	9	6	11	7	23	8	15	14	11	9	16
Otu00033	134	23	21	25	29	145	51	1	140	14	0	11	3	10	80	2	1	7	1	0
Otu00034	31	4	88	15	25	56	0	0	0	0	47	12	2	0	1	0	21	0	11	15
Otu00035	0	0	0	1	1	0	35	12	10	19	137	83	3	0	2	2	72	667	797	64
Otu00036	0	0	0	0	0	0	0	0	0	0	1612	0	0	85	0	0	0	0	0	0
Otu00037	55	99	3	11	7	0	1	0	0	1	0	4	1	0	6	608	1	0	0	0
Otu00038	0	0	0	0	0	0	51	0	176	1	1	2	0	0	0	1	15	359	61	132
Otu00039	2	0	0	0	0	0	0	0	0	0	3	3	0	12	0	0	0	0	0	0
Otu00040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
Otu00041	0	0	0	0	0	1	0	41	0	0	0	1	1	0	1	0	0	0	1	1
Otu00043	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	3	0	0
Otu00044	0	0	2	1	1	0	0	0	0	0	0	0	0	5	15	5	0	0	1	0
Otu00045	0	0	2	4	0	0	3	51	1	25	0	1	5	78	0	7	0	0	4	4
Otu00046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	60	66	3	4
Otu00047	47	0	5	1	4	1	587	46	224	45	0	1	0	0	0	0	141	113	270	334
Otu00048	0	0	1	0	0	0	51	177	1	0	0	143	0	2	71	2	0	1	0	1
Otu00050	10	20	25	6	16	14	87	4	38	21	9	18	15	12	55	33	10	14	14	11
Otu00051	119	15	255	78	80	115	6	2	0	5	79	38	13	96	96	10	0	1	0	0
Otu00053	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00054	0	1	2	0	0	0	1	0	3	0	1	20	27	0	6	28	0	0	0	0
Otu00055	0	6	5	3	3	0	69	24	69	14	0	2	0	1	0	2	25	74	27	24
