OTU_id	F14RhizoFungi.2p.A5	F14RhizoFungi.2p.B4	F14RhizoFungi.2p.C3	F14RhizoFungi.2p.C5	F14RhizoFungi.2p.D2	F14RhizoFungi.H7	F14RhizoFungi.G3	F14RhizoFungi.F11	F14RhizoFungi.G9	F14RhizoFungi.H2	F15RhizoFungi.2p.D4	F15RhizoFungi.H9	F15RhizoFungi.2p.A5	F15RhizoFungi.2p.B4	F15RhizoFungi.H12	F15RhizoFungi.H7	F15RhizoFungi.F11	F15RhizoFungi.G4	F15RhizoFungi.G9	F15RhizoFungi.H2
Otu00001	0	0	4	0	0	0	0	0	0	2	0	41	0	2	0	1	9	2	6	1
Otu00002	683	6	335	581	100	2	0	1	7	0	0	132	923	2	1	0	4	1	2	148
Otu00003	0	291	24	159	457	627	2	1	2	0	2	1	2	114	0	1	1	0	7	0
Otu00004	961	788	10	4	1656	1961	140	455	286	284	1711	2577	773	91	1418	1	57	9	142	1
Otu00005	786	1578	745	2102	254	1088	826	864	1507	604	31	2	20	154	78	0	218	50	5	49
Otu00006	524	1033	1114	1746	256	307	1090	1182	619	362	5	1	66	197	48	0	132	46	4	384
Otu00007	111	312	53	46	385	264	51	211	209	137	357	60	259	767	137	126	306	312	143	103
Otu00008	0	0	0	0	18	1	0	1	0	0	1	3	1	20	2	0	91	2	130	31
Otu00009	2	17	3	3	34	1	5	10	6	10	73	70	21	33	60	1	22	11	91	7
Otu00010	4	14	266	2	9	2	3	29	74	18	11	0	5	25	40	0	4	0	0	0
Otu00011	0	1	0	0	0	0	352	1	202	0	0	0	0	0	0	0	0	0	0	0
Otu00012	0	4	0	0	3	0	4	79	137	0	0	1	2	2	1	0	209	744	5	350
Otu00013	0	12	19	5	0	1	1	0	0	0	10	0	0	24	0	0	2	1	0	25
Otu00014	1395	425	773	207	1297	430	2	1	9	17	11	32	3	70	43	0	69	5	2	52
Otu00015	1	0	0	0	3	3	0	0	3	9	16	1	1	0	0	0	1	7	6	0
Otu00016	52	28	0	1	59	27	2	280	0	61	0	8	1	131	2	0	169	1304	152	504
Otu00017	3	25	4	3	19	11	0	12	1	0	40	25	200	109	321	0	58	2	1	1
Otu00018	1	0	0	14	26	0	0	11	0	17	0	5	0	5	155	223	1	32	3	0
Otu00019	1	9	804	31	2	0	546	7	34	412	31	13	364	13	338	0	13	39	5	2118
Otu00020	38	194	84	92	96	90	2	11	15	1	84	23	45	185	88	214	3	4	1	2
Otu00021	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1
Otu00022	67	157	88	132	56	60	0	0	0	74	85	40	29	143	110	102	33	415	55	81
Otu00023	11	5	1	2	0	10	5	2	0	1	6	3	5	6	3	1	3	0	2306	1
Otu00024	9	23	9	22	14	25	91	66	137	57	18	58	63	80	22	32	254	117	1305	14
Otu00025	17	68	4	9	44	66	12	20	34	149	7	42	85	142	84	42	30	95	28	31
Otu00026	0	0	0	0	225	0	0	9	0	0	2	2562	3	0	3	1	5	5	9	1
Otu00027	676	15	13	8	10	0	1	17	0	63	0	1	52	0	0	0	58	80	251	33
Otu00028	21	2	2	4	4	35	3	22	258	57	16	5	11	7	18	1	4	43	3	29
Otu00029	0	0	1	11	0	0	0	0	0	4	0	0	0	7	0	0	19	0	0	0
Otu00030	14	4	0	4	1	6	2	26	1	1	4	42	113	138	8	2	49	22	25	1
Otu00031	0	0	0	0	1	0	1	0	0	1	49	14	7	7	18	139	0	1	0	0
Otu00032	1	7	1	0	0	3	38	63	10	2	9	2	27	14	18	3	19	5	9	1
Otu00033	58	80	86	299	70	77	282	56	225	84	0	0	14	24	0	0	80	0	1	0
Otu00034	21	4	1	92	15	46	0	0	0	0	6	2	42	120	58	0	3	0	1	6
Otu00035	1	0	0	1	0	8	347	345	39	172	1	0	1	2	125	1	27	77	1	221
Otu00036	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0
Otu00037	64	0	30	17	0	13	0	1	0	0	7	0	48	63	20	0	0	2	1	0
Otu00038	0	0	0	0	0	0	0	179	0	13	0	0	2	0	0	1	22	4	0	15
