OTU_id	F14RhizoFungi.2p.A4	F14RhizoFungi.2p.A6	F14RhizoFungi.2p.B3	F14RhizoFungi.2p.D1	F14RhizoFungi.2p.D6	F14RhizoFungi.H11	F14Group.Rhizo111	F14RhizoFungi.G12	F14RhizoFungi.G7	F14RhizoFungi.H5	F15RhizoFungi.2p.A4	F15RhizoFungi.2p.B3	F15RhizoFungi.2p.D1	F15RhizoFungi.2p.D6	F15RhizoFungi.H11	F15RhizoFungi.2p.A6	F15RhizoFungi.G12	F15RhizoFungi.G2	F15RhizoFungi.G7	F15RhizoFungi.H5
Otu00001	0	119	13	0	0	0	0	0	0	11	0	1	0	2	2	89	0	1	0	1
Otu00002	136	1433	986	98	51	1	28	0	4	3	3	1963	111	620	2	809	1	1	0	15
Otu00003	2	3	1200	505	294	44	0	1	0	1	6	1	1	211	0	18	0	0	0	2
Otu00004	5	888	1293	2545	2763	271	50	1346	1438	5	923	1132	1600	16	418	18	27	2	10	116
Otu00005	220	801	254	575	435	863	141	997	687	1050	64	14	44	43	178	605	1	48	56	110
Otu00006	275	436	1391	689	152	692	16	507	214	727	126	2	64	16	65	129	103	157	205	193
Otu00007	185	190	171	392	62	32	10	49	205	61	622	281	397	69	117	96	236	127	167	284
Otu00008	0	0	0	0	1	0	0	0	0	0	1	1	1	0	10	1	0	3601	184	2
Otu00009	0	11	3	0	0	5	7	26	3	4	90	106	4	10	155	29	21	7	19	1
Otu00010	4	4	2	35	33	4	2417	4	3	143	0	2	0	0	0	18	0	0	0	0
Otu00011	1	0	0	0	0	0	0	1056	0	230	0	0	0	0	15	0	0	0	0	0
Otu00012	0	0	16	0	1	0	3	1	2	8	0	0	1	1	0	0	82	57	30	313
Otu00013	13	0	32	3	0	23	0	0	0	129	0	0	0	5	0	0	0	0	0	0
Otu00014	40	52	40	135	1165	3074	4	3	145	1	42	0	37	1	11	42	62	144	25	37
Otu00015	0	0	4	0	0	0	2	7	3	0	10	5	1	3	3	0	1	1	2	0
Otu00016	0	8	48	3	0	0	0	135	32	1	5	1	2	2	8	11	347	282	147	191
Otu00017	14	2	13	3	1	12	276	0	0	10	43	25	17	16	1460	243	332	70	168	0
Otu00018	0	3	0	9	1	3	12	1	109	1	457	50	142	6	148	10	0	2	27	126
Otu00019	51	2	0	52	49	21	4	110	557	1511	31	34	100	3464	76	115	123	4	30	59
Otu00020	59	74	72	67	108	104	1	8	23	1	181	65	344	175	24	86	37	18	11	1
Otu00021	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	1	0
Otu00022	88	50	44	68	5	125	7	2	22	9	120	83	99	151	149	86	110	7	1	1128
Otu00023	0	5	19	2	1	1	13	5	4	0	3	5	0	2	5	1	1	1	1	0
Otu00024	5	11	4	1	0	16	465	8	5	169	30	188	3	27	161	45	17	22	240	0
Otu00025	49	18	11	22	4	13	3	50	129	20	132	187	60	31	49	72	73	37	26	143
