,Plot ID,Study_site,Year,Rep,Rootstock,Total,Marketable,Total Number,Mkt Number,Avg Total,Avg Mkt,Per_Mkt_byWt,Per_Mkt_byNumber,Compartment,Sample_name
14RootFungi.G8,A5,Common Harvest,2014,1,Maxifort,29.71,22.3,70.45,52.45,0.4217,0.4252,0.751,0.744,Endosphere,14RootFungi.G8
14RootFungi.G4,B5,Common Harvest,2014,2,Maxifort,36.81,26.8,95.6,69.55,0.3851,0.3853,0.728,0.728,Endosphere,14RootFungi.G4
14RootFungi.G2,C5,Common Harvest,2014,3,Maxifort,30.16,24.52,70.1,55.7,0.4302,0.4402,0.813,0.795,Endosphere,14RootFungi.G2
14RootFungi.G5,D5,Common Harvest,2014,4,Maxifort,25.89,19.24,73.3,55,0.3532,0.3498,0.743,0.75,Endosphere,14RootFungi.G5
14RootFungi.G3,A1,Common Harvest,2014,1,Nongraft,17.74,13.28,41.92,32.82,0.4233,0.4047,0.749,0.783,Endosphere,14RootFungi.G3
14Group.Root123,B1,Common Harvest,2014,2,Nongraft,23.05,18.78,69.6,58.3,0.3312,0.3221,0.814,0.838,Endosphere,14Group.Root123
14RootFungi.G9,C1,Common Harvest,2014,3,Nongraft,16.94,13.76,49.95,40,0.3392,0.344,0.812,0.801,Endosphere,14RootFungi.G9
14RootFungi.H2,D1,Common Harvest,2014,4,Nongraft,19.53,16.76,53.3,44.15,0.3664,0.3795,0.858,0.828,Endosphere,14RootFungi.H2
14Group.Root111,A4,Common Harvest,2014,1,RST-04-106,25.74,21.03,71,57.3,0.3625,0.367,0.817,0.807,Endosphere,14Group.Root111
14RootFungi.G12,B4,Common Harvest,2014,2,RST-04-106,23.32,18.74,80.2,62.7,0.2908,0.2989,0.803,0.782,Endosphere,14RootFungi.G12
14RootFungi.G7,C4,Common Harvest,2014,3,RST-04-106,24.03,18.39,76.5,57.1,0.3141,0.322,0.765,0.746,Endosphere,14RootFungi.G7
14RootFungi.H5,D4,Common Harvest,2014,4,RST-04-106,24.77,18.84,73.55,56.6,0.3368,0.3328,0.761,0.77,Endosphere,14RootFungi.H5
14Group.Root108,A2,Common Harvest,2014,1,Selfgraft,24.09,18.33,69.35,52.05,0.3474,0.3521,0.761,0.751,Endosphere,14Group.Root108
14Group.Root99,B2,Common Harvest,2014,2,Selfgraft,19.69,16.04,52,42.05,0.3787,0.3814,0.814,0.809,Endosphere,14Group.Root99
14RootFungi.G10,C2,Common Harvest,2014,3,Selfgraft,26.57,20.9,73.58,57.42,0.3611,0.3641,0.787,0.78,Endosphere,14RootFungi.G10
14RootFungi.H3,D2,Common Harvest,2014,4,Selfgraft,28.93,25.18,92.8,79.05,0.3117,0.3185,0.87,0.852,Endosphere,14RootFungi.H3
15Group.Root131,A5,Common Harvest,2015,1,Maxifort,34.47,27.06,85.05,63.35,0.4053,0.4271,0.785,0.7449,Endosphere,15Group.Root131
15Group.Root99,B5,Common Harvest,2015,2,Maxifort,26.99,22.78,68,55,0.3969,0.4143,0.8441,0.8088,Endosphere,15Group.Root99
15RootFungi.G3,C5,Common Harvest,2015,3,Maxifort,27.7,24.17,77.9,67.1,0.3556,0.3602,0.8726,0.8614,Endosphere,15RootFungi.G3
15RootFungi.G8,D5,Common Harvest,2015,4,Maxifort,27.64,21.71,75.65,59.55,0.3654,0.3645,0.7852,0.7872,Endosphere,15RootFungi.G8
15RootFungi.F11,A1,Common Harvest,2015,1,Nongraft,27.35,23.41,72.55,59.15,0.377,0.3957,0.8557,0.8153,Endosphere,15RootFungi.F11
15RootFungi.G4,B1,Common Harvest,2015,2,Nongraft,22.65,16.14,56.95,38.1,0.3977,0.4236,0.7126,0.669,Endosphere,15RootFungi.G4
15RootFungi.G9,C1,Common Harvest,2015,3,Nongraft,19.52,17.57,55.13,48.68,0.3542,0.3609,0.8997,0.883,Endosphere,15RootFungi.G9
15RootFungi.H2,D1,Common Harvest,2015,4,Nongraft,25.12,21.1,72.4,59.6,0.347,0.354,0.8397,0.8232,Endosphere,15RootFungi.H2
15RootFungi.G12,A4,Common Harvest,2015,1,RST-04-106,26.77,23.35,67.15,56.5,0.3986,0.4133,0.8723,0.8414,Endosphere,15RootFungi.G12
15RootFungi.G2,B4,Common Harvest,2015,2,RST-04-106,35.65,31.21,96.5,80.4,0.3694,0.3882,0.8756,0.8332,Endosphere,15RootFungi.G2
15RootFungi.G7,C4,Common Harvest,2015,3,RST-04-106,21.03,18.29,64.45,54.4,0.3262,0.3361,0.8697,0.8441,Endosphere,15RootFungi.G7
15RootFungi.H5,D4,Common Harvest,2015,4,RST-04-106,28.02,23.23,72.2,58.6,0.3881,0.3964,0.829,0.8116,Endosphere,15RootFungi.H5
15Group.Root111,A2,Common Harvest,2015,1,Selfgraft,31.09,26.69,78,64.25,0.3986,0.4154,0.8584,0.8237,Endosphere,15Group.Root111
15Group.Root108,B2,Common Harvest,2015,2,Selfgraft,29.37,22.45,76.75,56.7,0.3827,0.396,0.7644,0.7388,Endosphere,15Group.Root108
15RootFungi.G10,C2,Common Harvest,2015,3,Selfgraft,27.54,22.72,74.75,58.15,0.3684,0.3907,0.825,0.7779,Endosphere,15RootFungi.G10
15RootFungi.G5,D2,Common Harvest,2015,4,Selfgraft,37.06,30.46,98.2,78.1,0.3774,0.3901,0.822,0.7953,Endosphere,15RootFungi.G5
14RootFungi.2p.A2,A4,OHREC,2014,1,Maxifort,53.92,48.68,109.73,99.85,0.4914,0.4875,0.903,0.91,Endosphere,14RootFungi.2p.A2
14RootFungi.2p.B1,B4,OHREC,2014,2,Maxifort,46.39,43.64,96.55,90.2,0.4805,0.4838,0.941,0.934,Endosphere,14RootFungi.2p.B1
14RootFungi.2p.B5,C4,OHREC,2014,3,Maxifort,55.55,50.01,111.98,99.23,0.496,0.5039,0.9,0.886,Endosphere,14RootFungi.2p.B5
14RootFungi.2p.B6,D4,OHREC,2014,4,Maxifort,51.62,46.38,102.77,93.08,0.5023,0.4983,0.899,0.906,Endosphere,14RootFungi.2p.B6
14RootFungi.2p.D4,E4,OHREC,2014,5,Maxifort,41.5,38.2,79.45,73.88,0.5224,0.517,0.92,0.93,Endosphere,14RootFungi.2p.D4
14RootFungi.H12,F4,OHREC,2014,6,Maxifort,56.52,51.3,103.23,92.2,0.5475,0.5564,0.908,0.893,Endosphere,14RootFungi.H12
14RootFungi.2p.A5,A2,OHREC,2014,1,Nongraft,40.92,37.66,87.77,80.57,0.4662,0.4674,0.92,0.918,Endosphere,14RootFungi.2p.A5
14RootFungi.2p.B4,B2,OHREC,2014,2,Nongraft,39.02,35.2,84.72,74.73,0.4606,0.471,0.902,0.882,Endosphere,14RootFungi.2p.B4
14RootFungi.2p.C3,C2,OHREC,2014,3,Nongraft,32.31,29.71,75.02,67.65,0.4307,0.4392,0.92,0.902,Endosphere,14RootFungi.2p.C3
14RootFungi.2p.C5,D2,OHREC,2014,4,Nongraft,36.02,34.62,75.9,71.35,0.4746,0.4851,0.961,0.94,Endosphere,14RootFungi.2p.C5
14RootFungi.2p.D2,E2,OHREC,2014,5,Nongraft,34.89,31.86,74.45,66.12,0.4686,0.4819,0.913,0.888,Endosphere,14RootFungi.2p.D2
14RootFungi.H7,F2,OHREC,2014,6,Nongraft,34.47,30.36,69.03,61.03,0.4993,0.4974,0.881,0.884,Endosphere,14RootFungi.H7
14RootFungi.2p.A4,A6,OHREC,2014,1,RST-04-106,40.72,37.31,83.13,73.97,0.4898,0.5044,0.916,0.89,Endosphere,14RootFungi.2p.A4
14RootFungi.2p.A6,B6,OHREC,2014,2,RST-04-106,29.53,26.6,60.63,53.87,0.487,0.4939,0.901,0.888,Endosphere,14RootFungi.2p.A6
14RootFungi.2p.B3,C6,OHREC,2014,3,RST-04-106,32.73,29.53,70.58,62.88,0.4636,0.4696,0.902,0.891,Endosphere,14RootFungi.2p.B3
14RootFungi.2p.D1,D6,OHREC,2014,4,RST-04-106,44.59,38.94,92.78,81.68,0.4805,0.4767,0.873,0.88,Endosphere,14RootFungi.2p.D1
14RootFungi.2p.D6,E6,OHREC,2014,5,RST-04-106,28.87,25.64,59.67,52.9,0.4838,0.4846,0.888,0.887,Endosphere,14RootFungi.2p.D6
14RootFungi.H11,F6,OHREC,2014,6,RST-04-106,39.64,34.7,81.38,70.08,0.487,0.4951,0.875,0.861,Endosphere,14RootFungi.H11
14RootFungi.2p.A1,A3,OHREC,2014,1,Selfgraft,42.91,39.72,91.3,83.6,0.47,0.4751,0.926,0.916,Endosphere,14RootFungi.2p.A1
14RootFungi.2p.C2,B3,OHREC,2014,2,Selfgraft,34.91,32.91,75.77,71.27,0.4608,0.4617,0.942,0.941,Endosphere,14RootFungi.2p.C2
14RootFungi.2p.C4,C3,OHREC,2014,3,Selfgraft,30.2,27.08,63.65,56.1,0.4745,0.4826,0.896,0.881,Endosphere,14RootFungi.2p.C4
14RootFungi.2p.D3,D3,OHREC,2014,4,Selfgraft,32.77,30.73,69.6,64.05,0.4708,0.4797,0.938,0.92,Endosphere,14RootFungi.2p.D3
14RootFungi.H8,E3,OHREC,2014,5,Selfgraft,33.98,31,71.67,65.27,0.4741,0.475,0.912,0.911,Endosphere,14RootFungi.H8
14RootFungi.H9,F3,OHREC,2014,6,Selfgraft,39.83,35.13,81.27,72.52,0.4902,0.4844,0.882,0.892,Endosphere,14RootFungi.H9
15RootFungi.2p.A2,A4,OHREC,2015,1,Maxifort,24.36,17.96,57.33,42.1,0.42,0.43,0.7374,0.7343,Endosphere,15RootFungi.2p.A2
15RootFungi.2p.B6,B4,OHREC,2015,2,Maxifort,23.37,14.67,58.23,37.57,0.4,0.39,0.6278,0.6451,Endosphere,15RootFungi.2p.B6
15RootFungi.2p.C5,C4,OHREC,2015,3,Maxifort,24.38,18.58,58.53,43.77,0.42,0.42,0.7621,0.7477,Endosphere,15RootFungi.2p.C5
15RootFungi.2p.C3,D4,OHREC,2015,4,Maxifort,30.74,20.94,69.97,46.2,0.44,0.45,0.681,0.6603,Endosphere,15RootFungi.2p.C3
15RootFungi.2p.D2,E4,OHREC,2015,5,Maxifort,20.03,14.37,52.5,39.43,0.38,0.36,0.7173,0.7511,Endosphere,15RootFungi.2p.D2
15RootFungi.2p.C4,F4,OHREC,2015,6,Maxifort,20.24,14.85,46.83,35.33,0.43,0.42,0.7336,0.7544,Endosphere,15RootFungi.2p.C4
15RootFungi.2p.D4,A2,OHREC,2015,1,Nongraft,20.67,14.5,50.7,36.53,0.41,0.4,0.7016,0.7205,Endosphere,15RootFungi.2p.D4
15RootFungi.H9,B2,OHREC,2015,2,Nongraft,15.31,12.18,42.27,32.5,0.36,0.37,0.7958,0.7689,Endosphere,15RootFungi.H9
15RootFungi.2p.A5,C2,OHREC,2015,3,Nongraft,21.56,15.19,57.83,40.7,0.37,0.37,0.7046,0.7037,Endosphere,15RootFungi.2p.A5
15RootFungi.2p.B4,D2,OHREC,2015,4,Nongraft,23.07,15.85,58.03,40.33,0.4,0.39,0.687,0.6949,Endosphere,15RootFungi.2p.B4
15RootFungi.H12,E2,OHREC,2015,5,Nongraft,20.26,13.65,51.27,35.27,0.4,0.39,0.6738,0.688,Endosphere,15RootFungi.H12
15RootFungi.H7,F2,OHREC,2015,6,Nongraft,21.11,16.83,48.53,38.53,0.43,0.44,0.7972,0.7939,Endosphere,15RootFungi.H7
15RootFungi.2p.A4,A6,OHREC,2015,1,RST-04-106,22.39,14.92,55.03,37.93,0.41,0.39,0.6662,0.6893,Endosphere,15RootFungi.2p.A4
15RootFungi.2p.B3,B6,OHREC,2015,2,RST-04-106,18.94,14.33,57.57,34.5,0.33,0.42,0.7566,0.5993,Endosphere,15RootFungi.2p.B3
15RootFungi.2p.D1,C6,OHREC,2015,3,RST-04-106,25.12,18.65,63.33,46.8,0.4,0.4,0.7427,0.7389,Endosphere,15RootFungi.2p.D1
15RootFungi.2p.D6,D6,OHREC,2015,4,RST-04-106,22.59,15.7,55.77,39.23,0.4,0.4,0.6952,0.7035,Endosphere,15RootFungi.2p.D6
15RootFungi.H11,E6,OHREC,2015,5,RST-04-106,28.06,23.22,66.33,54.63,0.42,0.42,0.8275,0.8236,Endosphere,15RootFungi.H11
15RootFungi.2p.A6,F6,OHREC,2015,6,RST-04-106,24.34,17.42,63,46.63,0.39,0.37,0.7154,0.7402,Endosphere,15RootFungi.2p.A6
15RootFungi.2p.B1,A3,OHREC,2015,1,Selfgraft,21.33,13.16,54.43,36.53,0.39,0.36,0.6171,0.6712,Endosphere,15RootFungi.2p.B1
15RootFungi.2p.C2,B3,OHREC,2015,2,Selfgraft,21.22,17.37,55.67,46.17,0.38,0.38,0.8185,0.8293,Endosphere,15RootFungi.2p.C2
15RootFungi.2p.A1,C3,OHREC,2015,3,Selfgraft,18.06,13.38,48.3,35.87,0.37,0.37,0.7407,0.7426,Endosphere,15RootFungi.2p.A1
15RootFungi.2p.B5,D3,OHREC,2015,4,Selfgraft,24.76,16.91,61.57,41.17,0.4,0.41,0.6828,0.6687,Endosphere,15RootFungi.2p.B5
15RootFungi.2p.D3,E3,OHREC,2015,5,Selfgraft,22.87,16.77,56.07,42.17,0.41,0.4,0.7335,0.7521,Endosphere,15RootFungi.2p.D3
15RootFungi.H8,F3,OHREC,2015,6,Selfgraft,21.78,17.16,55.37,43.63,0.39,0.39,0.7878,0.7881,Endosphere,15RootFungi.H8
14RhizoFungi.G8,A5,Common Harvest,2014,1,Maxifort,29.71,22.3,70.45,52.45,0.4217,0.4252,0.751,0.744,Rhizosphere,14RhizoFungi.G8
14RhizoFungi.G4,B5,Common Harvest,2014,2,Maxifort,36.81,26.8,95.6,69.55,0.3851,0.3853,0.728,0.728,Rhizosphere,14RhizoFungi.G4
14RhizoFungi.G2,C5,Common Harvest,2014,3,Maxifort,30.16,24.52,70.1,55.7,0.4302,0.4402,0.813,0.795,Rhizosphere,14RhizoFungi.G2
14RhizoFungi.G5,D5,Common Harvest,2014,4,Maxifort,25.89,19.24,73.3,55,0.3532,0.3498,0.743,0.75,Rhizosphere,14RhizoFungi.G5
14RhizoFungi.G3,A1,Common Harvest,2014,1,Nongraft,17.74,13.28,41.92,32.82,0.4233,0.4047,0.749,0.783,Rhizosphere,14RhizoFungi.G3
14RhizoFungi.F11,B1,Common Harvest,2014,2,Nongraft,23.05,18.78,69.6,58.3,0.3312,0.3221,0.814,0.838,Rhizosphere,14RhizoFungi.F11
14RhizoFungi.G9,C1,Common Harvest,2014,3,Nongraft,16.94,13.76,49.95,40,0.3392,0.344,0.812,0.801,Rhizosphere,14RhizoFungi.G9
14RhizoFungi.H2,D1,Common Harvest,2014,4,Nongraft,19.53,16.76,53.3,44.15,0.3664,0.3795,0.858,0.828,Rhizosphere,14RhizoFungi.H2
14Group.Rhizo111,A4,Common Harvest,2014,1,RST-04-106,25.74,21.03,71,57.3,0.3625,0.367,0.817,0.807,Rhizosphere,14Group.Rhizo111
14RhizoFungi.G12,B4,Common Harvest,2014,2,RST-04-106,23.32,18.74,80.2,62.7,0.2908,0.2989,0.803,0.782,Rhizosphere,14RhizoFungi.G12
14RhizoFungi.G7,C4,Common Harvest,2014,3,RST-04-106,24.03,18.39,76.5,57.1,0.3141,0.322,0.765,0.746,Rhizosphere,14RhizoFungi.G7
14RhizoFungi.H5,D4,Common Harvest,2014,4,RST-04-106,24.77,18.84,73.55,56.6,0.3368,0.3328,0.761,0.77,Rhizosphere,14RhizoFungi.H5
14Group.Rhizo108,A2,Common Harvest,2014,1,Selfgraft,24.09,18.33,69.35,52.05,0.3474,0.3521,0.761,0.751,Rhizosphere,14Group.Rhizo108
14Group.Rhizo99,B2,Common Harvest,2014,2,Selfgraft,19.69,16.04,52,42.05,0.3787,0.3814,0.814,0.809,Rhizosphere,14Group.Rhizo99
14RhizoFungi.G10,C2,Common Harvest,2014,3,Selfgraft,26.57,20.9,73.58,57.42,0.3611,0.3641,0.787,0.78,Rhizosphere,14RhizoFungi.G10
14RhizoFungi.H3,D2,Common Harvest,2014,4,Selfgraft,28.93,25.18,92.8,79.05,0.3117,0.3185,0.87,0.852,Rhizosphere,14RhizoFungi.H3
15Group.Rhizo131,A5,Common Harvest,2015,1,Maxifort,34.47,27.06,85.05,63.35,0.4053,0.4271,0.785,0.7449,Rhizosphere,15Group.Rhizo131
15Group.Rhizo99,B5,Common Harvest,2015,2,Maxifort,26.99,22.78,68,55,0.3969,0.4143,0.8441,0.8088,Rhizosphere,15Group.Rhizo99
15RhizoFungi.G3,C5,Common Harvest,2015,3,Maxifort,27.7,24.17,77.9,67.1,0.3556,0.3602,0.8726,0.8614,Rhizosphere,15RhizoFungi.G3
